제품명,설명
술아 순곡주,"겨울, 여주산 찹쌀로 빚은 순수하고 깨끗한 순곡주"
술아 막걸리,"쌀, 누룩, 물만으로 빚은 100% 수제 막걸리"
오희 스파클링 막걸리,오미자가 전하는 부드러움과 싱그러운 맛의 조화
애피소드 호프,사과와인과 맥주가 만나 새로운 미각을 자극한다
The 찾을수록 시리즈,와이너리에서 만든 이색적인 사과소주
뱅꼬레 레드와인,35년 와인메이커 외길인생의 역작
왕피천을 품은 미소생막걸리,"천년의 울진, 백년의 술도가"
미소 생막걸리,"천년의 울진, 백년의 술도가"
오메기 맑은술,제주의 풍미가 가득 담긴 제주 대표술
뱅꼬레 화이트와인,35년 와인메이커 외길인생의 역작
뱅꼬레 로제와인,35년 와인메이커 외길인생의 역작
스타베리 오디와인,국산 친환경 오디로 빚은 정통발효와인
뱅꼬레 아이스와인,35년 와인메이커 외길인생의 역작
청명주 500,충청북도 무형문화재 지정
아이원 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
애피소드 상그리아,한국와인의 명가에서 만든 상그리아
애피소드 애플,명품 의성사과로 만든 탄산와인
한스오차드 사과와인,명품 의성사과로 옹기에서 숙성한 사과와인
청산녹수 생탁주,막걸리 본연의 맛에 충실한 생생한 막걸리
청산녹수 꿀막걸리,천연벌꿀로 후숙한 달콤하고 부드러운 막걸리
청산녹수 사미인주,발효과학과 전통기법이 만나 탄생한 명품 막걸리
향수 우리밀 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
시인의 마을 우리쌀 막걸리,"시인의 마을, 장인의 양조장에서 빚다"
청명주 750,충청북도 무형문화재 지정
이화백주,청량한 탄산과 달콤새콤한 풍미가 매력적인 탁주
감그린 아이스와인,경북 청도의 씨 없는 감의 특별한 변신
왕율주,공주밤과 공주쌀로 빚은 대한민국 최초 밤 증류주
밤꽃향기,공주밤과 공주쌀로 빚은 맑은 술
강소주,
감그린 스페셜,경북 청도의 씨 없는 감의 특별한 변신
감그린 레귤러,경북 청도의 씨 없는 감의 특별한 변신
진쾌남,공주밤과 공주쌀로 빚은 대한민국 최초 밤 증류주
공주애 오디와인,공주 오디로 빚은 향긋하고 달콤한 과실주
도문대작 생막걸리,강릉 5대 명주 중 하나인 방풍주를 복원하다
계룡산 산삼주 금수강산 40%,전설의 약초 산삼과 계룡산 맑은 물로 빚은 산삼주
한비 무병장수술,아홉 가지 건강 약재가 함유된 기능성 전통주
한비 동충하초술,동충하초와 오가피가 담긴 고급 리큐르
한비 오가피술,10년산 친환경 오가피가 첨가된 리큐르
한비 쌀소주,전통기법으로 빚은 순하고 부드러운 소주
고창선운산 땡큐블루베리주,고창 블루베리로 빚은 명품 블루베리주
송이주,산림욕을 하는듯한 싱그러움과 담백한 맛
화주,화주 한잔에 풍미와 기품을 담다
계룡산 산삼주 금수강산 21%,전설의 약초 산삼과 계룡산 맑은 물로 빚은 산삼주
능이주,본초강목에서 전하는 귀한 능이버섯으로 빚은 약주
고운달 백자,문경 오미자로 빚은 프리미엄 증류주
문경바람 백자 40%,문경 사과로 빚은 풍미 가득한 사과증류주
문경바람 오크,문경 사과로 빚은 풍미 가득한 사과증류주
오미로제 프리미어와인,문경 오미자로 빚은 오미자 스틸와인
문경바람 백자 25%,문경 사과로 빚은 풍미 가득한 사과증류주
원매,국내 유일하게 황매실 100%로 담근 프리미엄 매실주
서울의 밤,
고창선운산 땡큐복분자주,고창 복분자로 빚은 명품 복분자주
고창선운산 복분자주 특1호,고창 복분자로 빚은 명품 복분자주
쿨샷7.5,55알의 햇복분자를 한병에 담다
니모메,청정 제주의 자연을 오롯이 담은 싱그러운 술
월매 쌀막걸리,2017년 대한민국 우리술품평회 우수상 수상
호담 산양산삼 막걸리,2017년 대한민국 우리술품평회 대통령상 수상
제주 고소리술,제주특별자치도 무형문화재 제11호
고도리 화이트와인 드라이,GAP인증 거봉 포도로 만든 신의 물방울
고도리 레드와인 스위트,GAP인증 머루포도로 만든 신의 물방울
세우리,청정 제주의 자연을 오롯이 담은 정성
고도리 화이트와인 스위트,GAP인증 거봉 포도로 만든 신의 물방울
고도리 복숭아와인,GAP인증 복숭아로 만든 디저트와인
고운달 오크,문경 오미자로 빚은 프리미엄 증류주
야관문 쌀 막걸리,밤에 빗장문을 열어주는 약초로 빚은 막걸리
지리산 정담 생쌀 막걸리,"함께 나누면 더욱 정다운, 정담 막걸리"
지리산 허브잎 술,대한민국 우리술품평회 2개년 대상 수상
호담 300ml,2014 대한민국 우리술품평회 수상
명술 375ml,2014 대한민국 우리술품평회 수상
호담 산양산삼주,대한민국 우리술품평회 2년 연속 대상 수상
다래와인 7004D,참다래와 빚은 독특고 맛있는 한국와인
다래와인 7004S,참다래와 빚은 독특고 맛있는 한국와인
다래와인 3004,참다래로 빚은 독특고 맛있는 한국와인
풍정사계 동(冬),"겨울에 마시는 귀한 술, 풍정사계 소주"
풍정사계 추(秋),"가을에 마시는 맛있는 술, 풍정사계 탁주"
풍정사계 하(夏),"여름에 마시는 향기로운 술, 풍정사계 과하주"
풍정사계 춘(春),"봄에 마시는 감미로운 술, 풍정사계 약주"
평창 오디주,대관령 오디로 빚은 향긋한 과실주
대관령 복분자주,대관령 복분자로 빚은 향긋한 과실주
평창 머루주,대관령 산머루로 빚은 향긋한 과실주
예담은 한산소곡주,천오백년의 맛과 향이 백일의 정성에 담기다
예담은 한산소곡화주,불소곡주라고도 불리는 한산소곡주 증류주
자두와인 화이트,경북 김천의 최상급 자두로 와인을 빚다
자두와인 레드,경북 김천의 최상급 자두로 와인을 빚다
천안 연미주,천년의 역사가 숨쉬는 술
입장탁주,천안을 대표하는 생막걸리
로얄 안동소주 18년,대한민국 우리술품평회 3년 연속 수상
진심 홍삼주 19도,대한민국 우리술품평회 2년 연속 수상
그랑티그르 S1974,2016 한국와인 베스트셀렉션 금상 수상
베베마루 캠벨로제 스위트,2017 제4회 대한민국주류대상 대상 수상
베베마루 캠벨로제,2016 대한민국 우리술품평회 우수상 수상
신선주,몸에 좋은 약재로 술을 빚어 무병장수를 기원하다
예주,친환경으로 재배한 복분자로 빚은 술
소나무와 학,2016 대한민국 우리술품평회 대상 수상
추사블루,사과와인의 명가에서 만드는 블루베리와인
추사 애플와인,사과의 명소 예산에서 만든 사과와인
동강더덕주,2014 대한민국 우리술품평회 수상
안동소주 일품 17도,안동소주의 맛을 현대적으로 재해석하다
안동소주 일품 21도,안동소주의 맛을 트렌디하게 재해석하다
안동소주 일품 40도 골드,2015 대한민국 우리술품평회 대상 수상
허니비 와인,대한민국 최초로 상용화에 성공한 벌꿀 발효주
산막 생유 막걸리,"무방제, 무색소, 무향료 순수 막걸리"
청춘,한국 전통 청주 부활을 이끈다
산막대덕주,"유(柳)씨 집안 전통 제주, 대덕주"
강쇠,
황진이,2016 대한민국 우리술품평회 대상 수상
주몽 복분자주,2016 대한민국 우리술품평회 대상 수상
DMZ 240km,자연송이 침출액과 프랑스 브랜디가 결합된 제품
자연송이주,자연산 송이버섯으로 빚고 5년을 숙성하다
설궁,2016 대한민국 우리술품평회 최우수상 수상
장수 생 막걸리,
장홍삼 장수 막걸리,농협 한삼인 6년근 홍삼을 발효시킨 고급 웰빙 막걸리
블루베리 이야기,블루베리와 산머루를 혼합한 퓨전 과실주
머루 이야기,2013년 대한민국 우리술품평회 우수상 수상
천마 이야기 막걸리,전통 막걸리를 현대적으로 재해석이다
매실 막걸리,새콤달콤 광양 매실과 막걸리가 만나다
백운 복분자 와인,복분자주의 명가 백운주가가 만든 복분자와인
백운 복분자주,매년 주류품평회를 석권한 명품 복분자주
배도가 로아 40도 옐로우,흰 빛깔의 이슬을 뜻하는 프리미엄 증류주
유자 생 막걸리,유자향 가득 머금은 생막걸리
복분자음,2014 대한민국 우리술품평회 최우수상 수상
고구마 아락,2016 대한민국 우리술품평회 우수상 수상
복분자 아락,2015 대한민국 우리술품평회 대상 수상
오매락퍽,2015년 대한민국 우리술품평회 리큐르 부문 최우수상 수상
감아락 25도,대봉감의 달콤함이 담긴 색다른 맛의 감동
민속주 안동소주 400ml,전통식품명인이 빚은 정통 안동소주
민속주 안동소주 600ml,전통식품명인이 빚은 정통 안동소주
민속주 안동소주 800ml,전통식품명인이 빚은 정통 안동소주
문배술 헤리티지 40도,"1,000년의 깊은 맛과 향을 간직하다"
문배술 헤리티지 25도,"1,000년의 깊은 맛과 향을 간직하다"
문배술 헤리티지 23도,"1,000년의 깊은 맛과 향을 간직하다"
명인 안동소주 22도,명인이 빚은 안동소주의 맛과 향을 간직한 새로운 안동소주
명인 안동소주 양반탈,식품명인 6호 박재서 명인이 빚은 증류식소주
명인 안동소주 호리병,식품명인 6호 박재서 명인이 빚은 증류식소주
청양 둔송 구기주,식품명인11호 임영순 명인이 빚은 구기자술
두레앙 브랜디,2015 대한민국 우리술품평회 최우수상 수상
두레앙 증류주,대한민국 우리술품평회 2회 석권에 빛나는 증류주
두레앙 와인,천안시 특산물 거봉 포도로 만든 한국와인
펀치 쌀 바나나,2016년 대한민국 우리술품평회 장려상 수상
부안 참뽕 와인,부안의 특작물 참뽕으로 발효한 한국와인
부안 참뽕 막걸리,대한민국 우리술품평회 살균막거리 부문 수상제품
줄포 생 막걸리,2014 대한민국 우리술품평회 생막걸리 최우수상
무주 구천동 산머루주,무주의 특산물 산머루로 빚은 머루주
무주 구천동 머루와인,무주의 특산물 머루로 빚은 와인
천마몽,무주에서 자란 천마로 빚는 전통주
천매,황매실과 매실청을 브랜딩한 최상급 매실주
원매 프리미엄,국내 유일하게 황매실 100%로 담근 프리미엄 매실주
매실원주 15도,국내 유일하게 매실주 100%로 담근 매실주
대윤 가야곡 왕주,조선시대 왕실에 진상하던 궁중술
예화,예를 다해 전통주문화를 꽃 피운다
설레온,눈이 오는 포근한 풍경을 담았다
톡 한잔 골드,영광 찰보리로 빚은 보리소주
톡 한잔 소주,영광 찰보리로 빚은 보리소주
명품 진도홍주,천혜의 섬 진도의 쌀과 지초로 빚어낸 증류주
진도홍주 루비콘,천혜의 섬 진도의 쌀과 지초로 빚어낸 증류주
녹천 소곡화주 500ml,한산소곡주를 증류해 만든 프리미엄 소곡주
녹천 소곡화주 480ml,한산소곡주를 증류해 만든 프리미엄 소곡주
한산소곡주(살균주),그 맛에 취해 일어나지 못한다는 앉은뱅이술
한산소곡주(생주),그 맛에 취해 일어나지 못한다는 앉은뱅이 술
녹고의 눈물,청정 제주섬에서 빚은 오가피 발효주
김천 과하주 16도,400여년을 이어온 식품명인이 빚은 명술
김천 과하주 23도,400여년을 이어온 식품명인이 빚은 명술
금정산성 막걸리,대한민국 민속주 1호 막걸리
명인 홍삼주,16대를 이어온 장인정신이 빚은 홍삼주
금산인삼주,16대를 이어온 장인정신이 빚은 인삼주
금산인삼주 수삼단본 720ml 23도,16대를 이어온 장인정신이 빚은 인삼주
금산인삼주 수삼단본 720ml 43도,16대를 이어온 장인정신이 빚은 인삼주
그랑꼬또 M56,그랑꼬또 와이너리의 프리미엄 로제와인
그랑꼬또 로제와인,밝은 핑크빛 속에 담긴 산뜻한 맛
그랑꼬또 청수,국내산 청수포도로 만든 화이트와인
선운산의 아침 복분자막걸리,국내산 1등급 복분자로 빚은 막걸리
자연담은 복분자막걸리,복분자로 빚은 프리미엄 막걸리
명작 복분자,고창 복분자로 빚은 복분자주의 명작
계룡백일주 12년,400년을 이어온 장인의 궁중술
계룡백일주 40도,400년을 이어온 장인의 궁중술
계룡백일주 30도,400년을 이어온 장인의 궁중술
계룡백일주 16도,400년을 이어온 장인의 궁중술
감홍로 청자,조선 3대 명주 중 첫 번째로 꼽다
감홍로 백자,조선 3대 명주 중 첫 번째로 꼽다
찰막걸리,
1932 새싹땅콩 햅쌀막걸리,1932 포천일동막걸리의 프리미엄 막걸리
1932 새싹땅콩 흑미막걸리,1932 포천일동막걸리의 프리미엄 막걸리
담은,1932 포천일동막걸리의 프리미엄 막걸리
불소곡주,한산소곡주를 정성껏 증류하여 만들다
려(驪)고구마증류소주 40도,"""버림과 기다림으로 완성한 고급 증류소주"""
려(驪)고구마증류소주 25도,"""버림과 기다림으로 완성한 고급 증류소주"""
려(驪)증류소주 25도,"""버림과 기다림으로 완성한 고급 증류소주"""
옛날 막걸리 古,"""전통 누룩으로 빚는 막걸리(무 아스파탐)"""
아이싱 자몽,"""우리 술의 진화 - 젊은세대와 만나다"""
오디랑,"""활력의 과실"" 오디로 빚는 술"
우도 땅콩 전통주,우도 땅콩의 고소한 향과 맛
미르25,전통방식의 증류식 소주
동몽,"같은 꿈, 하나가 되는 술"
오미시앙 스페셜,장수 오미자 와인 오미시앙
소백산 청 동동주,한달 이상 숙성한 동동주
소백산 검은콩 막걸리,블랙푸드의 대표 검은콩 막걸리
소백산 생 만찬주,청와대 만찬주로 사용되었던 탁주
청세주,세상을 푸르게 하는 술
맑은 문희주,맑게 거른 수제전통주
자희향 국화주,향이 좋은 국화주
자희향 나비,석탄향주를 복원한 순곡 막걸리
자희향,석탄향주를 복원한 순곡 막걸리
오메기 술,
은자골 곶감 생 탁배기,상주의 곶감으로 만드는 막걸리
은자골 생 탁배기,삼백의 고을 상주쌀로 빚는 막걸리
홍삼명주 500ml,세계최초의 홍삼 발효주
홍삼명주 375ml,세계최초의 홍삼 발효주
이동 쌀 막걸리,군인들이 소문낸 막걸리
이동 생 쌀 막걸리,군인들이 소문낸 막걸리
백련 생막걸리 Misty,신평양조장의 프리미엄 막걸리
백련 맑은술,백련잎으로 만든 약주
백련 생막걸리 snow (스노우),당진쌀과 백련잎의 막걸리
감사,소중한 인연에 감사하는 술
세종 오가닉,유기가공 인증 술
세종 알밤주,알밤의 고소한 막걸리
까메오 막걸리,낙천의 프리미엄 막걸리
회곡 생 막걸리,3대를 이어온 회곡양조장
회곡 생 동동주,3대를 이어온 회곡양조장
양촌 생 막걸리,100년 전통의 양촌양조
양촌 생 동동주,100년 전통의 양촌양조
지장수 생막걸리,지장수로 빚는 생막걸리
문희 (햇찹쌀수제전통주) 700ml,100일간 숙성하는 수제 막걸리
문희 (햇찹쌀수제전통주) 500ml,100일간 숙성하는 수제 막걸리
인천 생 소성주,인천막걸리의 자부심
지평 생 쌀막걸리 (700ml),근대 문화유산 양조장의 막걸리
지평 생 쌀막걸리 (1.7L),근대 문화유산 양조장의 막걸리
다랭이팜 생 막걸리 (백미),최고의 원료로 만든 막걸리
홍천강 탁주,홍천 예술의 드라이한 막걸리
술취한 원숭이,붉은색 홍국쌀로 만든 10.8% 막걸리
지장수 호박 생 막걸리,지장수와 호박의 만남
지장수 호박 막걸리,지장수와 호박의 만남
오미자 생막걸리,새콤달콤 부끄러운 분홍빛에 취해보세요!
느린마을 막걸리,계절마다 다른 막걸리
소백산 생 막걸리,쌀과 밀의 황금비율
구름을 벗삼아,100%우리 햅쌀 막걸리
설성 만월 막걸리,막걸리 최초의 유기가공인증
복순도가 손 막걸리,샴페인 같은 우리 막걸리
소양강 생 막걸리,재료의 배합을 달리하는 막걸리
우렁이쌀 손 막걸리,100년 전통의 양촌양조
지평 생 옛막걸리,근대 문화유산 양조장의 막걸리
다랭이팜 생 막걸리 (흑미),최고의 원료로 만든 막걸리
다랭이팜 유자 막걸리,남해 유자가 담긴 막걸리
오곡 진상주,오곡으로 만들어낸 막걸리
만강에 비친 달,술잔에 비치는 막걸리
문희 (오미자),손으로 빚어 100일간 숙성하는 막걸리
솔송주 (골드),500년 전통의 함양 가양주
한산소곡주 700ml,"백제의 1,500년을 그대로 담은 술"
한산소곡주 360ml,"백제의 1,500년을 그대로 담은 술"
대통대잎술,절개와 지조의 대나무 술
내장산 복분자주 지통1호,내장산의 복분자로 만든 술
복분자주 360,내장산의 복분자로 만든 술
복분자주,
여포의 꿈 레드(SWEET),2014년 한국와인대상 실버상
여포의 꿈 레드 (Dry),2014년 한국와인대상 실버상
여포의 꿈 (화이트),우리술 품평회 우수상 (2015)
초선의 꿈 (로제),한국와인대상 대상 (2015)
샤토미소 스위트,한국 와인의 자존심
샤토미소 로제 스위트,한국의 아이스 와인
미소 아이스,프랑스의 와인을 따라 하지 않았습니다.
컨츄리 산머루 와인 (드라이),한국 와인의 자존심 컨츄리 와인
컨츄리 산머루 와인 (스위트),포도 본연의 맛을 살린 무아황산 한국와인
컨츄리캠벨 (스위트),컨츄리 와이너리의 한국형 와인
이강주 특7호,"梨(배나무 이), 薑(생강 강), 酒(술 주)"
이강주 2호,"梨(배나무 이), 薑(생강 강), 酒(술 주)"
이강주 375ml,"梨(배나무 이), 薑(생강 강), 酒(술 주)"
추성주,살쾡이가 전해준 기묘한 술
병영소주,병사가 즐겨 마셨던 소주
담솔,맑은 소나무 술
고소리 술 700ml,제주의 첫 증류주
고소리 술 375ml,제주의 첫 증류주
타미앙스,황금빛의 한국형 전통주
바나나 주,막걸리로 들어온 바나나
세종 쌀 막걸리,전통발효로 빚은 막걸리
생 청주 막걸리,산뜻하고 담백한 세종의 막걸리
천년전주 생 막걸리,문헌과 역사로 복원한 막걸리
천지주가 생 막걸리,젊은이들이 만드는 막걸리
해창 생막걸리 6도,담백하고 은근한 해남 막걸리의 투박한 맛
해창 생막걸리 9도,담백하고 은근한 해남 막걸리의 투박한 맛
해창 생 막걸리 12도,담백하고 은근한 해남 막걸리의 투박한 맛
호랑이 생 막걸리,명가에서 태어난 호랑이막걸리
부자 10,재료 본연의 맛을 살린 막걸리
붉은 원숭이,붉은색 홍국쌀로 만든 10.8% 막걸리
메로니아,아이스크림을 먹는듯한 달콤한 술
톡 쏘는 복분자 막걸리,개성 만점 복분자 막걸리
가평 잣 막걸리,가평의 자연을 오롯이 담은 막걸리
이화주,떠먹는 막걸리
톡 쏘는 알밤동동,달콤한 신세대 막걸리
홍삼 진심 인삼주 2set,인삼을 넣어 진심을 담은 술.
홍삼 진심 인삼주 1set,인삼을 넣어 진심을 담은 술.
홍삼 인삼주,증삼하여 넣은 순수 홍삼주
유기농 이도 42,2016 우리술 품평회 증류식 소주 부문 대상
미르40,전통방식의 증류식 소주
