단맛,신맛,청량감,바디감,도수,index
3.0,4.0,3.0,3.0,5.0,0
3.0,5.0,5.0,3.0,5.0,1
2.0,2.0,3.0,5.0,6.0,2
3.0,1.0,1.0,4.0,6.0,3
3.0,2.2,2.0,1.0,18.0,4
3.0,2.4,2.2,2.0,17.5,5
2.0,0.6,1.8,3.0,25.0,6
2.0,2.0,2.0,3.0,12.0,7
4.0,2.0,3.0,2.0,16.0,8
3.0,3.0,3.0,3.0,6.0,9
2.0,3.0,3.0,2.0,14.0,10
2.0,2.0,3.0,3.0,6.0,11
3.0,3.0,3.0,2.0,12.0,12
3.0,3.0,3.0,3.0,12.0,13
4.0,2.0,2.0,4.0,10.0,14
2.0,0.4,1.4,3.0,32.0,15
2.0,2.0,2.4,2.0,14.0,16
2.0,0.8,2.0,2.0,25.0,17
4.0,4.0,3.0,3.0,12.0,18
1.2,0.8,2.0,2.0,23.0,19
3.0,2.0,3.0,2.0,13.0,20
3.0,0.2,2.2,4.0,40.0,21
3.0,0.2,2.2,4.0,40.0,22
2.0,0.8,2.0,3.0,50.0,23
2.0,2.0,1.0,4.0,13.0,24
3.0,4.0,3.0,3.0,8.0,25
1.8,0.6,2.0,4.0,25.0,26
2.0,3.0,4.0,2.0,5.0,27
3.0,0.2,2.2,4.0,40.0,28
1.0,1.0,1.0,1.0,16.0,29
2.0,0.4,1.4,3.0,30.0,30
3.0,0.0,1.8,3.0,40.0,31
2.2,2.0,1.8,2.0,21.0,32
2.2,0.2,2.2,3.0,40.0,33
2.0,0.2,2.2,3.0,40.0,34
3.0,3.0,2.0,3.0,12.0,35
4.0,3.0,3.0,2.0,6.5,36
2.0,3.0,3.0,2.0,10.5,37
4.0,3.0,3.0,2.0,10.5,38
2.0,0.0,3.0,3.0,40.0,39
1.4,1.0,2.4,5.0,52.0,40
1.4,1.0,2.4,5.0,52.0,41
3.0,1.0,3.0,2.0,13.0,42
2.0,2.0,2.0,2.0,13.0,43
3.0,1.0,3.0,2.0,15.0,44
3.0,2.0,3.0,1.0,15.0,45
3.0,1.0,2.0,3.0,14.0,46
3.0,3.0,3.0,3.0,6.0,47
1.8,0.6,2.2,3.0,25.0,48
3.0,3.0,3.0,2.0,12.0,49
2.0,3.0,1.0,3.0,12.0,50
4.0,3.0,3.0,2.0,10.0,51
2.0,3.0,1.0,3.0,12.0,52
2.0,1.0,3.0,4.0,12.0,53
3.0,3.0,3.0,2.0,12.0,54
3.0,2.0,2.0,3.0,12.0,55
3.0,3.0,2.0,3.0,12.0,56
1.0,3.0,2.0,4.0,12.0,57
1.0,4.0,2.0,4.0,12.5,58
1.0,0.6,1.8,3.0,23.0,59
1.0,1.0,1.6,4.0,43.0,60
3.0,2.0,2.0,3.0,12.0,61
3.0,2.0,2.0,3.0,12.0,62
3.0,2.0,2.0,3.0,12.0,63
1.0,3.0,2.0,3.0,8.0,64
2.0,4.0,2.0,3.0,9.0,65
2.0,4.0,2.0,2.0,8.0,66
3.0,3.0,3.0,3.0,12.0,67
4.0,3.0,3.0,3.0,15.0,68
1.0,2.0,1.0,2.0,16.0,69
1.0,0.6,1.8,2.0,23.0,70
2.0,2.0,3.0,1.0,6.0,71
3.0,1.0,1.0,3.0,13.0,72
1.0,2.0,1.0,2.0,11.0,73
2.0,1.0,1.0,4.0,13.0,74
4.0,4.0,2.0,2.0,15.0,75
3.0,1.0,2.0,4.0,6.0,76
4.0,1.0,1.0,5.0,11.5,77
3.0,3.0,2.0,2.0,6.0,78
3.0,3.0,3.0,2.0,14.0,79
3.0,3.0,2.0,3.0,18.5,80
1.0,3.0,1.6,2.0,16.0,81
2.0,2.4,1.6,3.0,16.0,82
2.0,0.8,1.8,3.0,41.0,83
4.0,1.0,1.0,2.0,16.0,84
4.0,1.0,1.0,2.0,16.0,85
3.0,2.0,2.0,3.0,15.0,86
4.0,4.0,4.0,3.0,8.0,87
3.0,1.0,3.0,2.0,6.0,88
1.0,3.0,1.0,2.0,13.0,89
2.0,1.0,1.0,2.0,11.0,90
2.0,2.0,1.0,2.0,8.0,91
1.0,4.0,2.0,2.0,12.0,92
2.0,2.0,1.0,4.0,8.0,93
1.0,4.0,4.0,4.0,6.0,94
1.0,5.0,2.0,2.0,6.0,95
1.0,5.0,2.0,4.0,6.0,96
3.0,0.0,3.0,3.0,40.0,97
1.8,0.6,2.2,3.0,25.0,98
3.0,1.0,1.0,4.0,6.0,99
4.0,2.0,2.0,2.0,15.0,100
1.0,2.0,1.0,4.0,16.0,101
2.0,1.0,3.0,2.0,6.0,102
2.0,2.0,1.0,3.0,13.0,103
1.0,2.0,3.0,2.0,6.0,104
4.0,3.0,3.0,3.0,6.0,105
1.0,1.0,1.2,2.0,15.0,106
2.0,2.0,3.0,3.0,6.0,107
4.0,4.0,3.0,5.0,11.0,108
3.0,3.0,4.0,3.0,7.0,109
3.0,3.0,3.0,4.0,9.0,110
4.0,4.0,3.0,3.0,12.0,111
1.0,3.0,3.0,2.0,10.0,112
2.0,0.8,2.0,3.0,53.0,113
3.0,2.6,2.0,2.0,20.0,114
2.0,3.0,1.0,3.0,17.0,115
4.0,3.0,2.0,3.0,8.0,116
5.0,1.0,4.0,4.0,6.0,117
3.0,3.0,2.0,3.0,13.0,118
2.0,1.0,3.0,2.0,6.0,119
2.0,1.2,1.6,4.0,22.0,120
3.0,0.4,2.0,3.0,35.0,121
2.0,2.0,1.0,4.0,12.0,122
2.0,0.4,1.4,2.0,35.0,123
2.4,1.0,2.2,4.0,43.0,124
2.0,3.0,3.0,3.0,6.0,125
3.0,2.0,1.0,3.0,13.0,126
3.0,3.0,1.0,4.0,17.0,127
3.0,3.0,4.0,2.0,7.5,128
3.0,3.0,4.0,2.0,6.0,129
1.0,0.2,1.8,1.0,25.0,130
1.0,0.6,1.8,3.0,25.0,131
2.0,0.2,2.2,3.0,40.0,132
3.0,0.8,2.2,4.0,45.0,133
2.0,2.6,1.6,4.0,16.0,134
3.0,3.0,3.0,2.0,12.0,135
4.0,3.0,2.0,4.0,16.0,136
2.4,1.0,2.2,4.0,41.0,137
2.2,0.2,2.2,3.0,40.0,138
2.0,3.0,3.0,3.0,10.0,139
3.0,2.0,3.0,2.0,7.0,140
3.0,3.0,3.0,4.0,7.0,141
3.0,2.0,2.0,2.0,12.0,142
3.0,1.0,1.0,4.0,13.0,143
3.0,2.0,2.0,2.0,15.0,144
3.0,2.0,1.0,5.0,7.0,145
3.0,2.6,1.8,3.0,15.0,146
3.0,3.0,3.0,3.0,14.0,147
3.0,1.0,1.0,4.0,12.0,148
2.0,4.0,3.0,4.0,13.5,149
4.0,3.0,3.0,4.0,12.0,150
4.0,1.0,5.0,4.0,4.0,151
1.4,1.0,2.4,4.0,45.0,152
3.0,1.0,1.0,3.0,18.0,153
3.0,1.0,2.0,3.0,16.0,154
2.0,1.4,1.6,3.0,20.0,155
1.0,0.6,1.8,2.0,22.0,156
1.0,1.0,1.6,3.0,45.0,157
1.0,1.0,1.6,3.0,45.0,158
1.0,3.0,2.0,4.0,12.5,159
3.0,1.0,1.0,5.0,13.0,160
3.0,0.2,2.4,3.0,38.0,161
2.2,1.2,2.2,2.0,25.0,162
1.0,3.0,1.0,2.0,13.0,163
2.4,0.8,1.8,3.0,41.0,164
1.0,3.0,2.0,3.0,16.0,165
2.4,1.0,2.2,4.0,43.0,166
4.0,3.0,3.0,4.0,13.0,167
2.0,2.0,1.0,3.0,12.0,168
2.0,2.0,1.0,3.0,16.0,169
1.8,0.6,2.2,3.0,25.0,170
2.6,0.2,2.2,4.0,40.0,171
2.6,0.2,2.2,4.0,40.0,172
2.0,3.0,2.0,4.0,6.5,173
1.0,0.6,1.8,1.0,23.0,174
1.0,0.2,1.8,1.0,25.0,175
2.0,0.2,2.2,3.0,40.0,176
3.0,1.0,3.0,3.0,12.0,177
3.0,1.0,2.0,3.0,13.0,178
2.0,0.0,1.0,3.0,25.0,179
1.0,0.0,0.0,2.0,40.0,180
2.0,3.0,3.0,3.0,6.0,181
3.0,3.0,3.0,2.0,7.0,182
4.0,1.0,1.8,3.0,12.0,183
4.0,1.0,1.0,2.0,15.0,184
3.0,1.0,1.0,3.0,10.0,185
1.0,1.0,1.6,4.0,45.0,186
4.0,2.0,1.0,4.0,15.0,187
5.0,2.0,2.0,2.0,13.5,188
2.0,3.0,3.0,3.0,15.0,189
2.0,3.0,3.0,4.0,15.0,190
3.0,3.0,4.0,2.0,10.0,191
2.0,2.0,1.4,2.0,19.0,192
2.0,0.2,2.2,3.0,40.0,193
3.0,3.0,2.0,3.0,10.0,194
2.0,2.0,1.0,4.0,12.0,195
2.0,3.0,4.0,4.0,7.0,196
2.0,2.0,2.0,4.0,6.0,197
2.0,2.0,1.0,5.0,11.0,198
3.0,2.0,2.0,4.0,13.0,199
2.0,2.0,1.0,3.0,35.0,200
3.0,3.0,2.0,3.0,10.0,201
3.0,4.0,2.0,2.0,12.0,202
4.0,3.0,3.0,2.0,11.5,203
5.0,2.0,2.0,4.0,12.0,204
4.0,3.0,3.0,2.0,11.0,205
3.0,1.0,1.0,3.0,12.0,206
2.0,2.0,1.0,3.0,10.0,207
4.0,2.0,2.0,4.0,17.5,208
2.0,2.0,3.0,2.0,6.0,209
3.0,2.0,2.0,2.0,6.0,210
2.2,0.2,2.2,3.0,40.0,211
3.0,0.0,3.0,4.0,40.0,212
2.0,0.2,2.2,3.0,40.0,213
2.0,2.0,1.0,3.0,12.0,214
2.0,3.0,5.0,4.0,6.5,215
1.0,5.0,4.0,4.0,10.0,216
1.0,4.0,3.0,2.0,7.0,217
1.0,2.0,3.0,2.0,6.0,218
2.0,1.0,3.0,3.0,6.0,219
3.0,2.0,1.0,4.0,13.0,220
4.0,1.0,1.0,2.0,10.0,221
2.0,1.0,2.2,4.0,43.0,222
4.0,2.0,2.0,4.0,10.8,223
3.0,1.0,1.0,3.0,12.0,224
4.0,4.0,3.0,3.0,16.0,225
4.0,4.0,3.0,2.0,16.0,226
2.0,3.0,3.0,2.0,16.0,227
3.0,1.0,1.0,2.0,13.0,228
1.0,3.0,3.0,4.0,6.0,229
1.0,4.0,2.0,2.0,10.0,230
2.0,1.0,1.0,2.0,15.0,231
2.0,1.0,1.0,4.0,12.5,232
3.0,4.0,2.0,3.0,15.0,233
4.0,3.0,2.0,2.0,12.0,234
2.0,3.0,2.0,3.0,13.0,235
3.0,1.0,1.8,3.0,12.0,236
3.0,1.0,2.0,2.0,12.0,237
2.6,0.2,2.2,4.0,40.0,238
4.0,3.0,3.0,2.0,13.0,239
2.2,1.2,2.2,2.0,25.0,240
3.0,2.0,3.0,3.0,16.0,241
1.0,1.0,1.0,4.0,13.0,242
1.0,3.0,2.0,3.0,15.0,243
2.0,3.0,3.0,4.0,15.0,244
4.0,4.0,3.0,2.0,13.0,245
4.0,4.0,3.0,2.0,16.0,246
4.0,3.0,3.0,2.0,19.0,247
2.0,2.0,1.0,4.0,6.0,248
2.0,3.0,3.0,3.0,6.0,249
2.0,0.4,1.4,2.0,30.0,250
2.0,0.2,2.2,3.0,40.0,251
2.0,4.0,2.0,3.0,16.0,252
2.0,3.0,2.0,3.0,8.0,253
3.0,1.0,4.0,2.0,8.0,254
3.0,3.0,3.0,3.0,6.0,255
1.4,1.0,2.4,4.0,45.0,256
3.0,1.0,1.0,3.0,15.0,257
3.0,3.0,1.0,2.0,13.0,258
3.0,1.0,3.0,3.0,6.0,259
4.0,1.0,3.0,4.0,6.0,260
1.0,3.0,1.6,1.0,13.0,261
2.0,1.0,3.0,3.0,6.0,262
4.0,0.8,2.2,4.0,43.0,263
3.0,1.0,1.0,3.0,6.0,264
2.0,3.0,2.0,4.0,6.0,265
2.0,2.0,2.0,2.0,6.0,266
1.0,4.0,3.0,3.0,7.0,267
2.0,1.0,2.0,2.0,10.0,268
1.0,3.0,2.0,3.0,6.0,269
2.0,1.0,1.0,3.0,13.0,270
1.0,3.0,3.0,3.0,6.0,271
1.0,4.0,1.0,2.0,13.0,272
2.8,0.2,3.0,3.0,38.0,273
2.0,2.0,2.0,2.0,15.0,274
3.0,2.0,1.0,3.0,9.0,275
2.0,1.0,1.0,1.0,10.0,276
4.0,1.0,0.0,1.0,8.0,277
4.0,3.0,2.0,4.0,15.0,278
3.0,4.0,3.0,4.0,8.0,279
5.0,3.0,2.0,4.0,15.0,280
5.0,3.0,2.0,5.0,20.0,281
5.0,3.0,2.0,4.0,15.0,282
1.0,3.0,1.0,2.0,13.0,283
4.0,2.0,2.0,2.0,10.8,284
2.0,4.0,2.0,3.0,8.0,285
3.0,4.0,3.0,3.0,12.0,286
3.0,3.0,2.0,2.0,12.0,287
2.0,3.0,3.0,3.0,12.0,288
3.0,3.0,3.0,2.0,12.0,289
3.0,3.0,3.0,3.0,10.0,290
2.0,3.0,4.0,2.0,5.0,291
3.0,3.0,4.0,2.0,5.0,292
4.0,4.0,4.0,3.0,11.0,293
2.0,3.0,3.0,4.0,10.0,294
1.4,0.8,4.0,4.0,50.0,295
3.0,3.0,2.0,4.0,16.0,296
2.0,3.0,1.0,3.0,10.0,297
3.0,3.0,3.0,3.0,16.0,298
2.8,4.0,2.2,3.0,42.0,299
4.0,2.4,2.4,1.0,12.0,300
3.0,1.0,1.0,3.0,4.0,301
3.0,3.0,3.0,2.0,6.0,302
1.0,3.0,1.0,3.0,17.0,303
2.8,2.0,1.8,2.0,19.8,304
2.0,0.4,2.0,3.0,30.0,305
3.0,2.0,3.0,2.0,17.0,306
3.0,2.0,1.8,2.0,21.0,307
3.0,0.0,1.8,3.0,40.0,308
2.2,0.2,2.2,3.0,40.0,309
3.0,2.0,3.0,2.0,6.0,310
3.0,3.0,3.0,3.0,6.0,311
4.0,1.0,3.0,3.0,15.0,312
4.0,4.0,4.0,2.0,3.5,313
4.0,4.0,4.0,2.0,3.5,314
4.0,4.0,4.0,2.0,3.5,315
1.0,3.0,2.0,1.0,6.0,316
2.0,3.0,2.0,2.0,10.0,317
2.0,2.0,3.0,2.0,6.0,318
2.4,2.6,1.4,2.0,16.0,319
1.8,0.6,2.2,3.0,25.0,320
2.0,2.0,1.8,2.0,12.0,321
4.0,1.0,1.8,3.0,12.0,322
1.0,2.0,1.6,2.0,12.0,323
2.0,4.0,3.0,3.0,8.0,324
2.0,4.0,2.0,3.0,12.0,325
1.6,1.2,1.4,3.0,22.0,326
2.0,2.0,3.0,2.0,6.0,327
4.0,1.0,1.0,3.0,16.0,328
3.0,0.8,1.8,3.0,41.0,329
1.0,1.0,2.0,3.0,13.0,330
1.0,1.0,2.0,3.0,12.0,331
4.0,1.0,2.0,3.0,12.0,332
1.0,3.0,1.0,3.0,15.0,333
2.0,0.8,2.2,2.0,24.0,334
2.6,0.2,2.2,4.0,40.0,335
2.0,0.8,2.2,2.0,24.0,336
2.4,0.4,1.4,2.0,36.5,337
2.0,1.0,1.0,3.0,13.0,338
2.0,2.0,1.0,4.0,7.8,339
3.0,1.0,2.2,1.0,13.0,340
5.0,1.0,1.0,1.0,12.0,341
1.0,5.0,1.0,3.0,16.0,342
2.0,2.0,1.0,3.0,13.0,343
3.0,0.2,2.2,4.0,40.0,344
2.0,3.0,4.0,3.0,5.0,345
3.0,4.0,4.0,4.0,12.0,346
1.0,3.0,1.4,2.0,12.0,347
2.0,4.0,2.0,3.0,6.0,348
1.0,3.0,3.0,2.0,8.5,349
1.8,0.6,2.2,3.0,25.0,350
3.0,3.0,3.0,2.0,7.0,351
4.0,2.0,2.0,5.0,10.0,352
4.0,1.0,3.0,3.0,6.0,353
4.0,1.0,3.0,2.0,7.5,354
3.0,3.0,2.6,3.0,12.0,355
3.2,2.2,2.0,3.0,15.0,356
2.0,1.4,1.6,4.0,20.0,357
2.2,0.8,1.6,2.0,41.0,358
3.0,1.0,4.0,2.0,16.0,359
2.0,2.0,3.0,1.0,6.0,360
3.0,3.0,3.0,2.0,14.0,361
2.0,0.0,0.0,3.0,42.0,362
2.0,3.0,3.0,3.0,6.0,363
2.0,3.0,3.0,5.0,5.0,364
2.0,4.0,3.0,4.0,14.0,365
1.0,1.0,3.0,5.0,6.0,366
1.0,3.0,3.0,3.0,5.0,367
2.0,0.0,2.0,4.0,19.0,368
2.0,0.0,2.0,2.0,25.0,369
2.0,0.4,1.4,2.0,32.0,370
1.0,3.0,3.0,4.0,6.0,371
3.0,1.0,1.0,3.0,6.0,372
3.0,3.0,3.0,3.0,18.0,373
2.0,3.0,3.0,3.0,19.0,374
3.0,3.0,4.0,3.0,6.0,375
1.0,2.0,1.0,2.0,6.0,376
2.0,2.0,2.0,2.0,6.0,377
2.0,3.0,2.0,2.0,12.0,378
2.0,3.0,2.0,4.0,12.0,379
2.0,1.0,1.0,5.0,6.0,380
1.0,1.8,0.8,1.0,18.0,381
1.0,2.0,1.0,4.0,15.0,382
2.0,1.0,2.0,2.0,8.0,383
2.0,2.0,1.0,3.0,12.0,384
2.0,3.0,3.0,3.0,6.0,385
3.0,4.0,4.0,3.0,16.5,386
1.0,4.0,3.0,5.0,6.0,387
4.0,2.0,3.0,2.0,15.0,388
4.0,2.0,3.0,3.0,9.0,389
3.0,3.0,3.0,3.0,6.0,390
3.0,3.0,4.0,3.0,6.0,391
2.2,0.2,2.2,3.0,40.0,392
2.0,4.0,2.0,3.0,11.5,393
3.0,4.0,2.0,3.0,13.5,394
1.0,4.0,2.0,4.0,12.0,395
3.0,3.0,2.0,3.0,14.0,396
3.0,1.0,3.0,4.0,4.0,397
3.0,1.0,1.0,3.0,16.0,398
2.0,1.0,2.0,2.0,6.0,399
5.0,1.0,3.0,5.0,6.0,400
2.0,0.4,1.4,3.0,32.0,401
1.0,2.0,4.0,1.0,6.0,402
2.0,2.0,3.0,4.0,6.0,403
4.0,4.0,1.0,4.0,12.0,404
4.0,4.0,1.8,4.0,17.0,405
4.0,4.0,1.0,4.0,13.0,406
1.0,3.0,2.0,1.0,6.0,407
1.0,2.0,2.0,1.0,6.0,408
3.0,2.0,3.0,3.0,6.0,409
2.0,1.0,1.0,2.0,6.0,410
3.0,1.0,2.0,2.0,6.0,411
4.0,1.0,4.0,2.0,5.0,412
4.0,1.0,2.0,2.0,5.0,413
3.0,0.0,1.8,3.0,40.0,414
1.4,1.4,1.8,2.0,22.0,415
2.4,0.2,1.8,2.0,40.0,416
2.0,0.8,2.0,3.0,53.0,417
1.0,0.0,0.0,3.0,19.0,418
1.0,0.0,0.0,2.0,38.0,419
3.0,1.0,1.0,2.0,19.0,420
1.8,0.6,2.2,3.0,25.0,421
2.0,2.0,3.0,2.0,5.5,422
3.0,3.0,3.0,3.0,6.0,423
2.0,1.0,1.0,4.0,15.0,424
1.0,1.0,2.0,3.0,6.0,425
2.2,1.2,2.2,2.0,25.0,426
3.0,2.0,2.0,3.0,11.0,427
3.0,0.2,2.4,3.0,38.0,428
2.0,2.0,2.0,5.0,6.0,429
2.0,0.4,1.4,4.0,30.0,430
2.0,2.0,1.0,3.0,16.0,431
2.0,2.0,1.0,3.0,14.0,432
2.4,0.2,1.8,2.0,40.0,433
2.0,3.0,4.0,2.0,13.0,434
3.0,2.0,2.0,5.0,6.0,435
3.0,2.0,3.0,2.0,6.0,436
4.0,4.0,2.0,4.0,17.0,437
1.0,2.0,3.0,4.0,8.0,438
2.0,2.0,4.0,3.0,8.0,439
1.0,3.0,3.0,3.0,6.0,440
3.0,1.0,1.0,4.0,18.0,441
2.0,3.0,4.0,2.0,6.0,442
2.0,3.0,4.0,2.0,6.0,443
3.0,1.0,1.0,2.0,16.0,444
2.0,2.0,1.0,1.0,16.0,445
2.0,2.0,1.0,3.0,15.0,446
1.0,3.0,1.4,2.0,12.0,447
2.2,0.2,2.2,3.0,40.0,448
2.0,3.0,2.0,1.0,12.0,449
3.0,0.8,2.0,2.0,25.0,450
3.0,1.0,2.0,3.0,12.0,451
3.0,1.0,2.0,3.0,12.0,452
2.0,0.0,3.0,2.0,25.0,453
3.0,2.0,2.0,3.0,12.5,454
2.6,0.6,2.0,3.0,35.0,455
1.0,3.0,2.0,3.0,14.0,456
2.0,3.0,2.2,2.0,12.0,457
3.0,1.0,1.8,3.0,12.0,458
3.0,3.0,3.0,4.0,12.0,459
2.0,4.0,4.0,3.0,11.0,460
1.0,2.0,2.0,3.0,12.0,461
3.0,1.0,2.0,2.0,7.5,462
2.0,2.0,3.0,3.0,11.5,463
4.0,2.0,3.0,1.0,11.5,464
4.0,1.0,3.0,3.0,11.5,465
1.0,1.0,2.0,4.0,40.0,466
4.0,1.0,3.0,3.0,6.0,467
3.0,0.8,2.2,4.0,43.0,468
2.0,0.4,1.4,3.0,30.0,469
2.4,3.0,1.4,5.0,16.0,470
3.0,1.0,2.0,4.0,4.0,471
3.0,3.0,3.0,3.0,5.2,472
3.0,2.0,5.0,3.0,6.8,473
3.0,1.0,1.0,4.0,5.8,474
1.0,3.0,1.0,4.0,16.0,475
1.0,3.0,1.0,3.0,16.0,476
2.0,3.0,2.0,4.0,12.0,477
4.0,3.0,3.0,3.0,12.0,478
4.0,3.0,3.0,3.0,12.0,479
4.0,4.0,4.0,3.0,12.0,480
2.0,3.0,4.0,2.0,5.0,481
2.0,0.6,1.8,3.0,25.0,482
1.0,2.0,1.0,4.0,12.0,483
2.0,1.0,1.0,3.0,15.0,484
4.0,1.0,1.0,3.0,18.0,485
3.0,3.0,1.0,4.0,17.0,486
1.4,1.0,2.4,4.0,45.0,487
2.6,0.6,1.8,4.0,35.0,488
2.6,0.6,1.8,4.0,35.0,489
2.4,0.2,1.8,2.0,40.0,490
2.6,0.6,2.0,3.0,35.0,491
3.0,1.0,1.4,4.0,18.0,492
4.0,3.0,2.0,2.0,11.0,493
2.6,0.2,2.2,4.0,40.0,494
2.6,0.6,2.0,3.0,35.0,495
3.0,2.0,1.0,3.0,12.0,496
5.0,1.0,2.0,4.0,12.0,497
3.0,2.0,2.0,3.0,12.0,498
3.0,2.0,2.0,3.0,12.0,499
2.4,2.0,1.8,2.0,18.8,500
2.2,0.2,2.2,3.0,38.0,501
1.0,1.0,2.0,2.0,12.0,502
1.0,1.0,2.0,2.0,9.0,503
1.0,1.0,3.0,2.0,6.0,504
3.0,1.0,1.0,3.0,13.0,505
3.0,3.0,3.0,3.0,6.0,506
3.0,1.0,1.0,4.0,6.0,507
2.0,2.0,2.0,2.0,12.0,508
2.0,3.0,3.0,5.0,9.0,509
4.0,2.0,2.0,2.0,10.0,510
3.0,1.0,1.0,4.0,8.0,511
2.0,2.0,1.8,2.0,20.0,512
1.0,3.0,3.0,1.0,6.0,513
1.0,1.0,1.0,3.0,13.0,514
3.0,1.0,2.0,4.0,6.0,515
4.0,1.0,2.0,2.0,6.0,516
1.0,2.0,2.0,4.0,12.0,517
4.0,3.0,3.0,2.0,12.0,518
2.0,0.8,2.0,2.0,45.0,519
1.0,3.0,1.4,1.0,14.0,520
2.0,3.0,2.0,4.0,11.0,521
1.6,0.8,2.0,1.0,25.0,522
3.2,3.0,1.4,2.0,17.0,523
2.2,1.2,2.2,2.0,25.0,524
2.2,0.2,2.2,3.0,40.0,525
3.0,2.0,1.0,3.0,12.0,526
2.4,2.6,1.4,2.0,16.0,527
3.0,2.0,3.0,3.0,7.0,528
2.0,2.0,2.0,4.0,6.0,529
2.4,2.6,1.4,2.0,16.0,530
3.0,4.0,1.0,5.0,15.0,531
2.0,3.0,2.0,3.0,9.0,532
