index,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감,담백,매운맛,씁쓸,탄닌감,탄산
266,소백산생만찬주,,2.0,2.0,2.0,2.0,,,,,,,
267,소백산오곡진상주,,1.0,4.0,3.0,3.0,,,,,,,
268,소백산청동동주,,2.0,1.0,2.0,2.0,,,,,,,
269,소양강생막걸리,,1.0,3.0,2.0,3.0,,,,,,,
270,솔송주,,2.0,1.0,,3.0,3.0,,4.0,,2.0,,
271,송명섭막걸리,,1.0,3.0,3.0,3.0,,,,,,,
272,송이주,,1.0,4.0,1.0,2.0,,,1.0,,1.0,,
273,송화백일주,,,,3.0,3.0,3.0,,,,,,
274,순향주,,2.0,2.0,2.0,2.0,,,,,,,
275,술공방9,,3.0,2.0,1.0,3.0,,,4.0,,,,1.0
276,술그리다생탁주,,2.0,1.0,1.0,1.0,,,3.0,,,,
277,술샘이화주,,4.0,1.0,0.0,1.0,,,,,,,
278,술아국화주,,4.0,3.0,2.0,4.0,,,2.0,,2.0,,
279,술아막걸리,,3.0,4.0,3.0,4.0,,,,,,,
280,술아매화주,,5.0,3.0,2.0,4.0,,,2.0,,2.0,,
281,술아순곡주,,5.0,3.0,2.0,5.0,,,2.0,,1.0,,
282,술아연화주,,5.0,3.0,2.0,4.0,,,2.0,,1.0,,
283,술예쁘다생탁주,,1.0,3.0,1.0,2.0,,,,,,,
284,술취한원숭이,,4.0,2.0,2.0,2.0,,,4.0,,,,0.0
285,술헤는밤,,2.0,4.0,2.0,3.0,,,,,,,
286,스타베리오디와인,,3.0,4.0,3.0,3.0,,,,,,,
287,시나브로드글로리아,,3.0,3.0,2.0,2.0,,,,,,,
288,시나브로레드드라이,,2.0,3.0,3.0,3.0,,,,,,,
289,시나브로레드스위트,,3.0,3.0,3.0,2.0,,,,,,,
290,시나브로로제와인,,3.0,3.0,3.0,3.0,,,,,,,
291,시나브로에뚜왈로제스파클링와인,,2.0,3.0,4.0,2.0,,,,,,2.0,1.0
292,시나브로에뚜왈스파클링,,3.0,3.0,4.0,2.0,,,,,,0.0,1.0
293,시나브로화이트와인,,4.0,4.0,4.0,3.0,,,,,,,
294,시인의마을우리쌀막걸리,,2.0,3.0,3.0,4.0,,,,,,,
295,신례명주,,,,4.0,4.0,2.0,,,5.0,,,
296,신선주,,3.0,3.0,2.0,4.0,,,,,,,
297,신선주백주,,2.0,3.0,1.0,3.0,3.0,,,,,,
298,신선주약주,,3.0,3.0,3.0,3.0,,,2.0,,4.0,,
299,신선주증류주,4.0,,4.0,,3.0,2.0,,,,,,
300,심플리애플,4.0,4.0,,,1.0,2.0,3.0,,,,,
301,아이싱,,3.0,1.0,1.0,3.0,,,,,,,
302,아이원막걸리,,3.0,3.0,3.0,2.0,,,,,,,
303,아황주,,1.0,3.0,1.0,3.0,,,,,,,
304,안동소주느낌19.8,2.0,,,,2.0,2.0,,,,,,
305,안동소주느낌30,3.0,,,,3.0,3.0,,,,,,
306,안동소주일품17,1.0,3.0,,,2.0,,,,2.0,,,
307,안동소주일품21,1.0,3.0,,,2.0,,,,3.0,,,
308,안동소주일품골드,1.0,3.0,,,3.0,,,,4.0,,,
309,안동소주필Feel,3.0,,,,3.0,4.0,,,,,,
310,안성맞춤생막걸리,,3.0,2.0,3.0,2.0,,,,,,,
311,안양동동주,,3.0,3.0,3.0,3.0,,,,,,,
312,애석,,4.0,1.0,3.0,3.0,,,,,,,
313,애피소드상그리아,,4.0,4.0,4.0,2.0,,,,,,2.0,1.0
314,애피소드애플,,4.0,4.0,4.0,2.0,,,,,,1.0,1.0
315,애피소드호프,,4.0,4.0,4.0,2.0,,,,,,,
316,야관문막걸리,,1.0,3.0,2.0,1.0,,,,,,,
317,양촌생동동주,,2.0,3.0,2.0,2.0,,,,,,,
318,양촌생막걸리,,2.0,2.0,3.0,2.0,,,,,,,
319,어우야,2.0,,,,2.0,3.0,,,,,,
320,여강,3.0,,,,3.0,3.0,,,,,,
321,여포의꿈레드드라이,,2.0,2.0,,2.0,2.0,,,,,3.0,0.0
322,여포의꿈레드스위트,,4.0,1.0,,3.0,2.0,,,,,3.0,1.0
323,여포의꿈화이트,,1.0,2.0,,2.0,2.0,,,,,0.0,0.0
324,연천아주,,2.0,4.0,3.0,3.0,,,,,,,
325,연천연주,,2.0,4.0,2.0,3.0,,,,,,,
326,연천우주,3.0,,,,3.0,2.0,,,,,,
327,영일만친구막걸리,,2.0,2.0,3.0,2.0,,,,,,,
328,예담은한산소곡주,,4.0,1.0,1.0,3.0,,,,,,,
329,예담은한산소곡화주,2.0,3.0,,,3.0,,,,,,,
330,예밀와인레드드라이,,1.0,1.0,2.0,3.0,,,,,,,
331,예밀와인로제,,1.0,1.0,2.0,3.0,,,,,,,
332,예밀와인레드스위트,,4.0,1.0,2.0,3.0,,,,,,,
333,예주,,1.0,3.0,1.0,3.0,,,,,,,
334,예천주복만월24,3.0,,,,2.0,2.0,,,3.0,,,
335,예천주복만월40,4.0,,,,4.0,3.0,,,4.0,,,
336,예천주사월24,3.0,,,,2.0,2.0,,,,,,
337,예천주사월36.5,3.0,,,,2.0,3.0,,,,,,
338,예화,,2.0,1.0,1.0,3.0,,,,,,,
339,옛날막걸리古,,2.0,2.0,1.0,4.0,,,,,,,
340,오디랑,,3.0,1.0,,1.0,3.0,,,,,,
341,오매백주,,5.0,1.0,1.0,1.0,,,3.0,,,,0.0
342,오메기맑은술,,1.0,5.0,1.0,3.0,,,,,,,
343,오메기술,,2.0,2.0,1.0,3.0,,,3.0,,2.0,,
344,오매락퍽,3.0,3.0,,,4.0,,,,,,,
345,오목대,,2.0,3.0,4.0,3.0,,,,,,,
346,오미로제프리미어와인,,3.0,4.0,4.0,4.0,,,,,,4.0,0.0
347,오미시앙스페셜,,1.0,3.0,,2.0,2.0,,,,,,
348,오산막걸리,,2.0,4.0,2.0,3.0,,,4.0,,,,0.0
349,오희스파클링막걸리,,1.0,3.0,3.0,2.0,,,3.0,,,,1.0
350,왕율주,3.0,,,,3.0,3.0,,,,,,
351,왕피천을품은미소생막걸리,,3.0,3.0,3.0,2.0,,,,,,,
352,우곡생주,,4.0,2.0,2.0,5.0,,,,,,,
353,우도땅콩전통주,,4.0,1.0,3.0,3.0,,,3.0,,,,0.0
354,우렁이쌀손막걸리,,4.0,1.0,3.0,2.0,,,,,,,
355,운암1945,,3.0,3.0,,3.0,,3.0,3.0,,2.0,,
356,원매,4.0,,,,3.0,1.0,,,1.0,,,
357,원매프리미엄,3.0,2.0,,,4.0,,,,,,,
358,원조소곡화주,3.0,,,,2.0,3.0,,,,,,
359,원조한산소곡주,,3.0,1.0,4.0,2.0,,,,,,,
360,월매쌀막걸리,,2.0,2.0,3.0,1.0,,,,,,,
361,유기농이도14,,3.0,3.0,3.0,2.0,,,,4.0,,,
362,유기농이도42,,2.0,0.0,0.0,3.0,,,,,,,
363,유자동동주,,2.0,3.0,3.0,3.0,,,,,,,
364,유자생막걸리,,2.0,3.0,3.0,5.0,,,,,,,
365,율무동동주,,2.0,4.0,3.0,4.0,,,,,,,
366,은자골곶감생탁배기,,1.0,1.0,3.0,5.0,,,,,,,
367,은자골생탁배기,,1.0,3.0,3.0,3.0,,,,,,,
368,이강주19,,2.0,0.0,2.0,4.0,,,,,,,
369,이강주25,,2.0,0.0,2.0,2.0,,,,3.0,,,
370,이도32,2.0,2.0,,,2.0,3.0,3.0,,4.0,,,
371,이동생쌀막걸리,,1.0,3.0,3.0,4.0,,,,,,,
372,이동쌀막걸리,,3.0,1.0,1.0,3.0,,,,,,,
373,이상헌약주,,3.0,3.0,3.0,3.0,,,,,,,
374,이상헌탁주,,2.0,3.0,3.0,3.0,,,,,,,
375,이화백주,,3.0,3.0,4.0,3.0,,,,,,,
376,인천생소성주,,1.0,2.0,1.0,2.0,,,,,,,
377,입장탁주,,2.0,2.0,2.0,2.0,,,,,,,
378,자두와인레드,,2.0,3.0,2.0,2.0,,,,,,,
379,자두와인화이트,,2.0,3.0,2.0,4.0,,,,,,,
380,자연담은복분자막걸리,,2.0,1.0,1.0,5.0,,,2.0,,,,0.0
381,자연송이주,1.0,1.0,,,1.0,,,,,,,
382,자희향국화주,,1.0,2.0,1.0,4.0,,,,,,,
383,자희향나비생탁주,,2.0,1.0,2.0,2.0,,,,,,,
384,자희향탁주,,2.0,2.0,1.0,3.0,,,,,,,
385,장수생막걸리,,2.0,3.0,3.0,3.0,,,,,,,
386,장수오미자주,,3.0,4.0,4.0,3.0,,,,,,2.0,0.0
387,장홍삼장수막걸리,,1.0,4.0,3.0,5.0,,,,,,,
388,정고집나주배약주15,,4.0,2.0,3.0,2.0,,,3.0,,3.0,,
389,정고집나주배약주9,,4.0,2.0,3.0,3.0,,,,,,,
390,정고집나주쌀생막걸리,,3.0,3.0,3.0,3.0,,,,,,,
391,정고집옛날생동동주,,3.0,3.0,4.0,3.0,,,,,,,
392,제주고소리술,4.0,,,,3.0,1.0,,,,,,
393,젤코바스페셜,,2.0,4.0,2.0,3.0,,,,,,,
394,젤코바캠벨와인,,3.0,4.0,2.0,3.0,,,,,,,
395,젤코바프리미엄와인,,1.0,4.0,2.0,4.0,,,,,,,
396,조선주조사,,3.0,3.0,2.0,3.0,,,,,,,
397,조은술세종바나나주,,3.0,1.0,3.0,4.0,,,3.0,,,,0.0
398,주몽복분자주,,3.0,1.0,1.0,3.0,,,,,,,
399,주산지막걸리,,2.0,1.0,2.0,2.0,,,,,,,
400,주시락톡쏘는복분자막걸리,,5.0,1.0,3.0,5.0,,,,,,,
401,죽력고,4.0,,,,3.0,2.0,,,,,,
402,죽향생막걸리,,1.0,2.0,4.0,1.0,,,,,,,
403,줄포생막걸리,,2.0,2.0,3.0,4.0,,,,,,,
404,지란지교무화과탁주,,4.0,4.0,1.0,4.0,,4.0,3.0,,,,0.0
405,지란지교약주,,4.0,4.0,,4.0,,4.0,2.0,,2.0,,
406,지란지교탁주,,4.0,4.0,1.0,4.0,,4.0,3.0,,,,0.0
407,지리산정담생막걸리,,1.0,3.0,2.0,1.0,,,,,,,
408,지리산허브잎술,,1.0,2.0,2.0,1.0,,,,,,,
409,지장수생막걸리,,3.0,2.0,3.0,3.0,,,,,,,
410,지장수호박막걸리,,2.0,1.0,1.0,2.0,,,,,,,
411,지장수호박생막걸리,,3.0,1.0,2.0,2.0,,,,,,,
412,지평생쌀막걸리,,4.0,1.0,4.0,2.0,,,,,,,
413,지평생옛막걸리,,4.0,1.0,2.0,2.0,,,,,,,
414,진도홍주루비콘,3.0,3.0,,,3.0,,,,,,,
415,진맥소주22,3.0,,,,2.0,2.0,,,,,,
416,진맥소주40,4.0,,,,2.0,3.0,,,4.0,,,
417,진맥소주53,4.0,,,,3.0,4.0,,,5.0,,,
418,진심홍삼인삼주19,,1.0,0.0,0.0,3.0,,,,,,,
419,진심홍삼인삼주38,,1.0,0.0,0.0,2.0,,,,,,,
420,진심홍삼주19,,3.0,1.0,1.0,2.0,,,,,,,
421,진쾌남,3.0,,,,3.0,4.0,,,,,,
422,찰막걸리,,2.0,2.0,3.0,2.0,,,,,,,
423,창원생탁주,,3.0,3.0,3.0,3.0,,,,,,,
424,천년담주,,2.0,1.0,1.0,4.0,,,,,,,
425,천년전주생막걸리,,1.0,1.0,2.0,3.0,,,,,,,
426,천년주,2.0,,,,2.0,3.0,,,,,,
427,천등산차례주,,3.0,2.0,2.0,3.0,,,,,,,
428,천마몽,2.0,3.0,,,3.0,,,,,,,
429,천마이야기,,2.0,2.0,2.0,5.0,,,,,,,
430,천매,3.0,2.0,,,4.0,,,,,,,
431,천비향오양주약주,,2.0,2.0,1.0,3.0,,,1.0,,2.0,,
432,천비향오양주탁주,,2.0,2.0,1.0,3.0,,,1.0,,,,0.0
433,천비향화주,5.0,,,,2.0,4.0,,,3.0,,,
434,천안연미주,,2.0,3.0,4.0,2.0,,,,,,,
435,천지주가햅쌀생막걸리,,3.0,2.0,2.0,5.0,,,,,,,
436,청남대블루베리생막걸리,,3.0,2.0,3.0,2.0,,,3.0,,,,1.0
437,청명주,,4.0,4.0,2.0,4.0,,,3.0,,2.0,,
438,청산녹수꿀막걸리,,1.0,2.0,3.0,4.0,,,,,,,
439,청산녹수사미인주,,2.0,2.0,4.0,3.0,,,,,,,
440,청산녹수생탁주,,1.0,3.0,3.0,3.0,,,,,,,
441,청세주,,3.0,1.0,1.0,4.0,,,,,,,
442,청송얼음골동동주,,2.0,3.0,4.0,2.0,,,,,,,
443,청송주왕사과막걸리,,2.0,3.0,4.0,2.0,,,,,,,
444,청양둔송구기주,,3.0,1.0,1.0,2.0,,,,,,,
445,청진주,,2.0,2.0,1.0,1.0,,,,,,,
446,청춘,,2.0,2.0,1.0,3.0,,,,,,,
447,초선의꿈로제,,1.0,3.0,,2.0,4.0,,,,,2.0,0.0
448,추사40,5.0,,,,3.0,1.0,,,3.0,,,
449,추사로제,,2.0,3.0,2.0,1.0,,,,,,,
450,추사백25,4.0,3.0,,,2.0,2.0,4.0,,3.0,,,
451,추사블루,,3.0,1.0,2.0,3.0,,,,,,,
452,추사애플와인,,3.0,1.0,2.0,3.0,,,,,,1.0,0.0
453,추성주,,2.0,0.0,3.0,2.0,,,,,,,
454,추시와인,,3.0,2.0,2.0,3.0,,,,,,,
455,충주백주,4.0,,,,3.0,2.0,,,,,,
456,컨츄리산머루와인드라이,,1.0,3.0,,3.0,4.0,,,,,,
457,컨츄리산머루와인스위트,,2.0,3.0,,2.0,2.0,,,,,,
458,컨츄리와인캠벨얼리스위트,,3.0,1.0,,3.0,4.0,,,,,,
459,코이버펑크머스캣베일리에이,,3.0,3.0,3.0,4.0,,,,,,,
460,코이버펑크샤르도네세미용블랜드,,2.0,4.0,4.0,3.0,,,,,,,
461,코이버펑크카베르네소비뇽,,1.0,2.0,2.0,3.0,,,,,,,
462,쿨샷7.5,,3.0,1.0,2.0,2.0,,,,,,,
463,크라테레드와인드라이,,2.0,2.0,3.0,3.0,,,,,,,
464,크라테레드와인스위트,,4.0,2.0,3.0,1.0,,,,,,,
465,크라테로제와인,,4.0,1.0,3.0,3.0,,,,,,3.0,0.0
466,타미앙스,,1.0,1.0,2.0,4.0,,,,,,,
467,톡쏘는알밤동동,,4.0,1.0,3.0,3.0,,,,,,,
468,톡한잔골드,3.0,3.0,,,4.0,,,,,,,
469,톡한잔소주,2.0,2.0,,,3.0,,,,,,,
470,티나Tina,4.0,,,,5.0,4.0,,,,,,
471,펀치쌀바나나 ,,3.0,1.0,2.0,4.0,,,2.0,,,,1.0
472,편백숲산소막걸리,,3.0,3.0,3.0,3.0,,,,,,,
473,편백숲산소막걸리딸기스파클링,,3.0,2.0,5.0,3.0,,,1.0,,,,1.0
474,편백숲산소막걸리순수령,,3.0,1.0,1.0,4.0,,,,,,,
475,평창머루주,,1.0,3.0,1.0,4.0,,,,,,,
476,평창오디주,,1.0,3.0,1.0,3.0,,,,,,,
477,포엠레드드라이와인,,2.0,3.0,2.0,4.0,,,,,,,
478,포엠레드스위트와인,,4.0,3.0,3.0,3.0,,,,,,,
479,포엠로제와인,,4.0,3.0,3.0,3.0,,,,,,,
480,포엠화이트와인,,4.0,4.0,4.0,3.0,,,,,,,
481,풍남문,,2.0,3.0,4.0,2.0,,,,,,,
482,풍정사계동,3.0,2.0,,,3.0,,,,,,,
483,풍정사계추,,1.0,2.0,1.0,4.0,,,,,,,
484,풍정사계춘,,2.0,1.0,1.0,3.0,,,,,,,
485,풍정사계하,,4.0,1.0,1.0,3.0,,,,,,,
486,하향주,,3.0,3.0,1.0,4.0,,,,,,,
487,하향주증류주,3.0,,,,4.0,3.0,,,,,,
488,한비동충하초술,4.0,,,,4.0,1.0,,,,,,
489,한비무병장수술,5.0,,,,4.0,2.0,,,,,,
490,한비쌀소주,2.0,,,,2.0,3.0,,,,,,
491,한비오가피술,2.0,,,,3.0,2.0,,,,,,
492,한산소곡주,,3.0,1.0,,4.0,4.0,,,,,,
493,한스오차드사과와인,,4.0,3.0,2.0,2.0,,,,,,1.0,0.0
494,한시울,4.0,,,,4.0,3.0,,,,,,
495,한주,3.0,,,,3.0,3.0,,,,,,
496,해미읍성딸기와인,,3.0,2.0,1.0,3.0,,,,,,,
497,해미읍성매실와인,,5.0,1.0,2.0,4.0,,,,,,,
498,해미읍성모과와인,,3.0,2.0,2.0,3.0,,,,,,,
499,해미읍성살구와인,,3.0,2.0,2.0,3.0,,,,,,,
500,해방주18.8,2.0,,,,2.0,2.0,,,,,,
501,해방주38,3.0,,,,3.0,3.0,,,,,,
502,해창12도생막걸리,,1.0,1.0,2.0,2.0,,,,,,,
503,해창9도생막걸리,,1.0,1.0,2.0,2.0,,,,,,,
504,해창찹쌀생막걸리,,1.0,1.0,3.0,2.0,,,,,,,
505,해파랑,,3.0,1.0,1.0,3.0,,,,,,,
506,햇찹쌀이하늘수,,3.0,3.0,3.0,3.0,,,,,,,
507,행운막걸리,,3.0,1.0,1.0,4.0,,,,,,,
508,행운주,,2.0,2.0,2.0,2.0,,,,,,,
509,향수우리밀막걸리,,2.0,3.0,3.0,5.0,,,,,,,
510,허니문와인,,4.0,2.0,2.0,2.0,,,,,,1.0,0.0
511,허니비와인,,3.0,1.0,1.0,4.0,,,,,,1.0,0.0
512,호담,2.0,2.0,,,2.0,,,,,,,
513,호담산양산삼막걸리,,1.0,3.0,3.0,1.0,,,,,,,
514,호담산양산삼주,,1.0,1.0,1.0,3.0,,,,,,,
515,호땅,,3.0,1.0,2.0,4.0,,,,,,,
516,호랑이생막걸리,,4.0,1.0,2.0,2.0,,,,,,,
517,호모루덴스,,1.0,2.0,2.0,4.0,,,,,,,
518,혼디주,,4.0,3.0,3.0,2.0,,,,,,1.0,0.0
519,홍로,4.0,,,,2.0,2.0,,,,,,
520,홍삼명주,,1.0,3.0,,1.0,5.0,,3.0,,4.0,,
521,홍천강탁주,,2.0,3.0,2.0,4.0,,,,,,,
522,화주,2.0,,,,1.0,3.0,,,2.0,,,
523,황금보리소주17,2.0,,,,2.0,2.0,,,,,,
524,황금보리소주25,3.0,,,,2.0,2.0,,,2.0,,,
525,황금보리소주40,3.0,,,,3.0,3.0,,,,,,
526,황진이,,3.0,2.0,1.0,3.0,,,,,,,
527,황칠주,2.0,,,,2.0,3.0,,,,,,
528,회곡생동동주,,3.0,2.0,3.0,3.0,,,,,,,
529,회곡생막걸리,,2.0,2.0,2.0,4.0,,,,,,,
530,흑돈주,2.0,,,,2.0,3.0,,,,,,
531,희양산막걸리15,,3.0,4.0,1.0,5.0,,,,,,,
532,희양산막걸리9,,2.0,3.0,2.0,3.0,,,3.0,,,,0.0
