,index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료
133,133,로얄안동소주18년,3.0,,,4,45,0.0,증류주, 단맛   바디감     증류주 쌀  ,600ml,72000,농업회사법인유토피아(주),"국내산쌀,입국"
134,134,르깔롱,,,,4,16,0.0,기타주류,향기    바디감 목넘김    기타주류  과일류,500ml,35000,추성고을,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라"
135,135,마셔블랑,3.0,3.0,3.0,2,12,0.0,증류주, 단맛 신맛 청량감      증류주 귤  ,750ml,20000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,무수아황산"
136,136,마주소곡주,4.0,3.0,2.0,4,16,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀 밀  선물,500ml,17000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,효모"
137,137,마주소곡화주,,,,4,41,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀 밀  선물,500ml,25000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,홍고추"
138,138,막시모40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 오미자  베리류,500ml,49000,농업회사법인(주)착한농부,"오미자증류원액,오미자원액,정제수"
139,139,만강에비친달,2.0,3.0,3.0,3,10,0.0,탁주,  신맛 청량감 바디감  담백   탁주 쌀  선물,500ml,12000,예술,"홍천쌀,정제수,단호박,곡자"
140,140,맑은내일Winery단감명작,3.0,2.0,3.0,2,7,0.0,과실주, 단맛  청량감    탄닌감  과실주  과일류,750ml,20000,농업회사법인우포의아침주식회사,"단감,정제수,설탕,효소제,무수구연산,효모,무수아황산,소브산"
141,141,맑은내일발효막걸리,3.0,3.0,3.0,4,7,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  탄산,750ml,"2,200",농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수"
142,142,맑은내일우포,3.0,2.0,2.0,2,12,0.0,약주/청주, 단맛     담백   약주/청주 쌀  홈술,325ml,"5,000",농업회사법인우포의아침(주),"쌀,옥수수전분,효모,누룩,양파,정제수"
143,143,맑은문희주,3.0,1.0,1.0,4,13,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 찹쌀  파티,750ml,36000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
144,144,맑은술해밀,3.0,2.0,2.0,2,15,0.0,약주/청주, 단맛        약주/청주 쌀  ,500ml,25000,내변산양조장,"쌀,누룩,정제수"
145,145,매실막걸리,3.0,2.0,1.0,5,7,0.0,탁주, 단맛   바디감     탁주 쌀  ,750ml,3500,농업회사법인(주)백운주가,"쌀,매실과즙"
146,146,매실원주15,3.0,,,3,15,0.0,기타주류, 단맛   바디감     기타주류 꿀  ,300ml,6000,더한주류,"매실주원액,발효주정,정제수,꿀"
147,147,매실향기담은술,3.0,3.0,3.0,3,14,0.0,약주/청주, 단맛 신맛 청량감 바디감  담백   약주/청주 쌀  ,500ml,6000,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수"
148,148,머루이야기,3.0,1.0,1.0,4,12,0.0,과실주, 단맛   바디감     과실주 머루  소용량,375ml,6000,농업회사법인산들벗(주),국내산산머루
149,149,머르드서드라이,2.0,4.0,3.0,4,13.5,0.0,과실주,  신맛 청량감 바디감     과실주 머루  ,750ml,35000,산머루농원영농조합법인,국내산산머루
150,150,머르드서스위트,4.0,3.0,3.0,4,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 머루  ,750ml,30000,산머루농원영농조합법인,국내산산머루
151,151,메로니아,4.0,1.0,5.0,4,4,0.0,기타주류, 단맛  청량감 바디감     기타주류 쌀  과일류,750ml,2000,배혜정도가,"쌀,국,효모,젖산,멜론향,물엿등"
152,152,메밀로,,,,4,45,0.0,증류주,향기    바디감 목넘김    증류주 쌀 밀  선물,500ml,150000,농업회사법인두루(주),"국내산쌀,메밀,누룩,정제수"
153,153,면천두견주,3.0,1.0,1.0,3,18,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 찹쌀 꽃  선물,360ml,"30,000",(주)면천두견주,"국내산찹쌀,누룩,진달래꽃"
154,154,명가원복분자술,3.0,1.0,,3,16,0.0,과실주, 단맛   바디감     과실주 복분자  ,750ml,20000,명가원영농조합법인,"복분자,주정,정제수,구연산,호박산,정제식염,액상과당,효모,설탕"
155,155,명술,2.0,,,3,20,0.0,기타주류,    바디감     기타주류 삼  ,375ml,30000,대농바이오우리산삼,"산양산삼,정제주,주정"
156,156,명인안동소주22,1.0,,,2,22,0.0,증류주,         증류주 쌀  ,360ml,4500,명인안동소주,"쌀,누룩,정제수"
157,157,명인안동소주양반탈,1.0,,,3,45,0.0,증류주,    바디감     증류주 쌀  선물,800ml,35000,명인안동소주,"쌀,누룩,정제수"
158,158,명인안동소주호리병,1.0,,,3,45,0.0,증류주,    바디감     증류주 쌀  선물,800ml,30000,명인안동소주,"쌀,누룩,정제수"
159,159,명인홍삼주,1.0,3.0,2.0,4,12.5,0.0,약주/청주,  신맛  바디감     약주/청주 쌀 삼  선물,375ml,4000,농업회사법인(주)금산인삼주,"쌀,홍삼,누룩,정제수등"
160,160,명작복분자,3.0,1.0,1.0,5,13,0.0,과실주, 단맛   바디감     과실주 복분자  ,375ml,6500,(농)국순당고창명주(주),"복분자,효모,주정,정제수,과당,구연산"
161,161,명품진도홍주,3.0,,,3,38,0.0,증류주,향기 단맛   바디감     증류주 쌀 보리  ,375ml,20000,대대로영농조합법인,"쌀,보리,누룩,지초,정제수"
162,162,모월로,,,,2,25,0.0,증류주,향기         증류주 쌀  ,500ml,25000,협동조합주담,"쌀,누룩,정제수"
163,163,모월연,1.0,3.0,1.0,2,13,0.0,약주/청주,  신맛       약주/청주 쌀  선물,500ml,18000,협동조합주담,"쌀,누룩,정제수"
164,164,모월인,,,,3,41,0.0,증류주,향기    바디감 목넘김    증류주 쌀  파티,500ml,40000,협동조합주담,"쌀,누룩,정제수"
165,165,모월청,1.0,3.0,2.0,3,16,0.0,약주/청주,  신맛  바디감     약주/청주 쌀  ,500ml,21000,협동조합주담,"쌀,누룩,정제수"
166,166,모을동주소주,,,,4,43,0.0,증류주,향기    바디감 목넘김    증류주 쌀  ,350ml,15000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
167,167,모을동주약주,4.0,3.0,3.0,4,13,0.0,약주/청주, 단맛 신맛 청량감 바디감     약주/청주 쌀  ,375ml,13000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
168,168,무주구천동머루와인,2.0,2.0,1.0,3,12,0.0,과실주,    바디감     과실주 머루  ,750ml,25000,덕유양조,국내산산머루
169,169,무주구천동산머루주,2.0,2.0,1.0,3,16,0.0,과실주,    바디감     과실주 머루  가성비,750ml,15000,덕유양조,국내산산머루
170,170,문경바람백자25,,,,3,25,0.0,증류주,향기    바디감 목넘김    증류주 사과  과일류,375ml,16000,농업회사법인(주)제이엘,사과
171,171,문경바람백자40,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 사과  과일류,375ml,"24,000",농업회사법인(주)제이엘,사과
172,172,문경바람오크,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 사과  과일류,375ml,28000,농업회사법인(주)제이엘,사과
173,173,문경주조오미자생막걸리,2.0,3.0,2.0,4,6.5,1.0,탁주,  신맛  바디감  담백  탄산 탁주 오미자  ,750ml,2500,문경주조,"정제수,백미,입국,올리고당,물엿,허브,오미자,정제효소,아스파탐·아세셀펌칼륨"
174,174,문배술헤리티지23,1.0,,,1,23,0.0,증류주,         증류주 쌀  ,375ml,5555,문배주양조원,"메조,찰수수,쌀"
175,175,문배술헤리티지25,1.0,,,1,25,0.0,증류주,         증류주 쌀  선물,375ml,6111,문배주양조원,"메조,찰수수,쌀"
176,176,문배술헤리티지40,2.0,,,3,40,0.0,증류주,    바디감     증류주 쌀  선물,200ml,12000,문배주양조원,"메조,찰수수,쌀"
177,177,문희문경오미자수제전통주,3.0,1.0,3.0,3,12,0.0,탁주, 단맛  청량감 바디감     탁주 쌀 찹쌀 오미자  ,500ml,15000,문경주조(전통술체험관),"햇찹쌀,전통누룩,오미자"
178,178,문희햇찹쌀수제전통주,3.0,1.0,2.0,3,13,0.0,탁주, 단맛   바디감     탁주 쌀 찹쌀  ,500ml,15000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
179,179,미르25,2.0,0.0,1.0,3,25,0.0,증류주,    바디감     증류주 쌀  파티,375ml,18000,술샘,"쌀,누룩,정제수"
180,180,미르40,1.0,0.0,0.0,2,40,0.0,증류주,         증류주 쌀  ,375ml,23000,술샘,"쌀,누룩,정제수"
181,181,미생막걸리,2.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  탄산,750ml,1100,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,정제수"
182,182,미소생막걸리,3.0,3.0,3.0,2,7,0.0,탁주, 단맛 신맛 청량감      탁주 쌀  ,750ml,1500,울진술도가,"쌀,누룩,정제수"
183,183,미소아이스,4.0,1.0,,3,12,0.0,과실주, 단맛   바디감     과실주 포도  ,375ml,40000,도란원,"포도,산화방지제,효모등"
184,184,미인약주,4.0,1.0,1.0,2,15,0.0,약주/청주, 단맛        약주/청주 쌀 찹쌀  선물,500ml,25000,최행숙전통주가,"찹쌀,누룩,정제수"
185,185,미인탁주,3.0,1.0,1.0,3,10,0.0,탁주, 단맛   바디감     탁주 쌀 찹쌀  무감미료,500ml,15000,최행숙전통주가,"찹쌀,누룩,정제수"
186,186,민속주안동소주,1.0,,,4,45,0.0,증류주,    바디감     증류주 쌀  ,400ml,28000,민속주안동소주,"쌀,누룩,정제수"
187,187,바랑탁,4.0,2.0,1.0,4,15,0.0,탁주, 단맛   바디감     탁주 쌀 찹쌀  소용량,375ml,18000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,소맥분,정제수"
188,188,밤꽃향기,5.0,2.0,2.0,2,13.5,0.0,약주/청주, 단맛        약주/청주 쌀 밤  ,375ml,4000,농업회사법인사곡양조원,"국내산쌀,밤,누룩,정제수"
189,189,방문주약주,2.0,3.0,3.0,3,15,0.0,약주/청주,  신맛 청량감 바디감     약주/청주 쌀 찹쌀  선물,500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
190,190,방문주탁주,2.0,3.0,3.0,4,15,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 찹쌀  선물,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
191,191,배꽃담은연생막걸리,3.0,3.0,4.0,2,10,0.0,탁주, 단맛 신맛 청량감      탁주 쌀  ,720ml,20000,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,효모,젖산,연잎,정제수"
192,192,배도가로아19레드,2.0,,,2,19,0.0,증류주,향기         증류주 사과  ,350ml,10000,주식회사배혜정농업회사법인,사과
193,193,배도가로아40옐로우,2.0,,,3,40,0.0,증류주,    바디감     증류주 쌀  과일류,350ml,20000,배혜정도가,"쌀,배"
194,194,백년향,3.0,3.0,2.0,3,10,0.0,탁주, 단맛 신맛  바디감  담백   탁주 쌀  무감미료,500ml,11000,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
195,195,백련맑은술,2.0,2.0,1.0,4,12,0.0,약주/청주,    바디감  담백   약주/청주  선물,375ml,7000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
196,196,백련생막걸리Misty,2.0,3.0,4.0,4,7,0.0,탁주,  신맛 청량감 바디감  담백   탁주  선물,750ml,3000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
197,197,백련생막걸리Snow,2.0,2.0,2.0,4,6,0.0,탁주,    바디감     탁주  ,750ml,1600,신평양조장,"백미,연잎,정제수,종국,효모,아스파탐,물엿등"
198,198,백운복분자와인,2.0,2.0,1.0,5,11,0.0,기타주류,    바디감     기타주류 쌀 복분자  베리류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
199,199,백운복분자주,3.0,2.0,2.0,4,13,0.0,기타주류, 단맛   바디감     기타주류 쌀 복분자  베리류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
200,200,백이주,2.0,2.0,1.0,3,35,0.0,과실주,    바디감     과실주 쌀 밀 감초  명절,800ml,30000,농업회사법인(주)세찬제조사,"쌀,홍마늘액,감초,개량누룩,효모,정제효소제,정제수,밀함유"
201,201,백자주,3.0,3.0,2.0,3,10,0.0,탁주, 단맛 신맛  바디감     탁주 쌀 찹쌀  ,500ml,18000,농업회사법인(주)산수,"국내산찹쌀,멥쌀,잣,누룩,정제수"
202,202,뱅꼬레레드와인,3.0,4.0,2.0,2,12,0.0,과실주, 단맛 신맛       과실주 포도  ,375ml,25000,(주)한국와인,양조용포도
203,203,뱅꼬레로제와인,4.0,3.0,3.0,2,11.5,0.0,과실주, 단맛 신맛 청량감      과실주 포도  선물,375ml,23000,(주)한국와인,양조용포도
204,204,뱅꼬레아이스와인,5.0,2.0,2.0,4,12,0.0,과실주, 단맛   바디감     과실주 포도  ,375ml,90000,(주)한국와인,양조용포도
205,205,뱅꼬레화이트와인,4.0,3.0,3.0,2,11,0.0,과실주, 단맛 신맛 청량감      과실주 포도  저도수,375ml,23000,(주)한국와인,양조용포도
206,206,베베마루캠벨로제,3.0,1.0,1.0,3,12,0.0,과실주, 단맛   바디감     과실주 포도  ,375ml,20000,월류원,포도
207,207,베베마루캠벨로제스위트,2.0,2.0,1.0,3,10,0.0,과실주,    바디감     과실주 포도  저도수,375ml,20000,월류원,포도
208,208,별바랑,4.0,2.0,2.0,4,17.5,0.0,약주/청주, 단맛   바디감  담백   약주/청주 쌀 찹쌀  파티,375ml,27000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,정제수"
209,209,병영설성동동주,2.0,2.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀  무감미료,1700ml,2500,병영양조장,"쌀,전분,효모,누룩,정제수"
210,210,병영설성생막걸리,3.0,2.0,2.0,2,6,0.0,탁주, 단맛        탁주 쌀  무감미료,750ml,3500,병영양조장,"쌀,효모,누룩,정제수"
211,211,병영설성사또,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 쌀  베리류,700ml,40000,병영양조장,"쌀,효모,누룩,정제수"
212,212,병영소주,3.0,0.0,3.0,4,40,0.0,증류주, 단맛  청량감 바디감     증류주 보리  ,700ml,59400,병영주조장,"정제수,보리증류식소주원액"
213,213,복분자아락,2.0,,,3,40,0.0,증류주,향기    바디감     증류주 복분자  ,500ml,40000,농업회사법인배상면주가고창LB,"복분자증류원액,정제수"
214,214,복분자음,2.0,2.0,1.0,3,12,0.0,과실주,    바디감     과실주 복분자  홈술,375ml,6000,농업회사법인배상면주가고창LB,"복분자,정제수"
215,215,복순도가손막걸리,2.0,3.0,5.0,4,6.5,1.0,탁주,  신맛 청량감 바디감    탄산 탁주  파티,935ml,12000,김정식,복순도가
216,216,볼빨간막걸리10,1.0,5.0,4.0,4,10,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 찹쌀  홈술,500ml,7000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
217,217,볼빨간막걸리7,1.0,4.0,3.0,2,7,0.0,탁주,  신맛 청량감      탁주 쌀 찹쌀  홈술,500ml,5000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
218,218,봉하쌀생막걸리,1.0,2.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀  ,750ml,2000,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수"
219,219,부안참뽕막걸리,2.0,1.0,3.0,3,6,0.0,탁주,   청량감 바디감     탁주 쌀 오디  ,950ml,2000,내변산(동진주조),"쌀,오디,종국,정제수,누룩,효모,아스파탐"
220,220,부안참뽕와인,3.0,2.0,1.0,4,13,0.0,과실주, 단맛   바디감   탄닌감  과실주 오디  선물,750ml,18000,내변산(동진주조),"오디,정제수,주정"
221,221,부자10,4.0,1.0,1.0,2,10,0.0,탁주, 단맛     담백   탁주 쌀  무감미료,375ml,5000,배혜정도가,"쌀,정제수,고과당,효모등"
222,222,불소곡주,2.0,,,4,43,0.0,기타주류,향기    바디감     기타주류 쌀 찹쌀 생강  고문헌,700ml,30000,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추"
223,223,붉은원숭이,4.0,2.0,2.0,4,10.8,0.0,탁주, 단맛   바디감  담백   탁주 쌀  이색전통주,375ml,7000,술샘,"쌀,누룩,홍국,정제수"
224,224,블루베리이야기,3.0,1.0,1.0,3,12,0.0,과실주, 단맛   바디감     과실주 머루 베리  ,375ml,6000,농업회사법인산들벗(주),"국내산산머루,블루베리"
225,225,산내울복분자주,4.0,4.0,3.0,3,16,0.0,기타주류, 단맛 신맛 청량감 바디감     기타주류 복분자  베리류,750ml,20000,거창사과원예농협,"복분자,설탕,주정,정제수,과당"
226,226,산내울사과애주,4.0,4.0,3.0,2,16,0.0,기타주류, 단맛 신맛 청량감      기타주류 사과  과일류,750ml,14000,거창사과원예농협,"사과,설탕,주정,정제수,과당"
227,227,산내울오미자주,2.0,3.0,3.0,2,16,0.0,기타주류,  신맛 청량감      기타주류 오미자  선물,750ml,20000,거창사과원예농협,"오미자,설탕,주정,정제수,과당"
228,228,산막대덕주,3.0,1.0,1.0,2,13,0.0,약주/청주, 단맛        약주/청주 쌀 밀  ,600ml,20000,농업회사법인신탄진주조(주),"국내산쌀,우리밀누룩"
229,229,산막생유막걸리,1.0,3.0,3.0,4,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  탄산,750ml,1200,농업회사법인신탄진주조(주),"국내산쌀,소맥분,종국,효모"
230,230,삼선,1.0,4.0,2.0,2,10,0.0,탁주,  신맛       탁주 쌀  홈술,500ml,15000,농업회사법인두루(주),"국내산쌀,누룩,정제수"
231,231,삼양춘생약주,2.0,1.0,1.0,2,15,0.0,약주/청주,      담백   약주/청주 쌀  선물,500ml,20000,송도향전통주조,"강화섬쌀,전통누룩,정제수"
232,232,삼양춘생탁주,2.0,1.0,1.0,4,12.5,0.0,탁주,    바디감  담백   탁주 쌀  무감미료,500ml,12000,송도향전통주조,"강화섬쌀,전통누룩,정제수"
233,233,삼양춘청주,3.0,4.0,2.0,3,15,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀  선물,500ml,16800,송도향전통주조,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모"
234,234,샤토미소랑,4.0,3.0,2.0,2,12,0.0,과실주, 단맛 신맛       과실주 포도  홈술,375ml,20000,도란원,청포도
235,235,샤토미소레드프리미엄드라이,2.0,3.0,2.0,3,13,0.0,과실주,  신맛  바디감     과실주 포도  ,750ml,40000,도란원,포도
236,236,샤토미소스위트,3.0,1.0,,3,12,0.0,과실주, 단맛   바디감 목넘김    과실주 포도  ,750ml,20000,도란원,"포도,산화방지제,효모,설탕등"
237,237,샤토미소스위트로제,3.0,1.0,,2,12,0.0,과실주, 단맛    목넘김  탄닌감  과실주 포도  파티,375ml,20000,도란원,"포도,산화방지제,효모,설탕등"
238,238,샤토미소영동,,,,4,40,0.0,증류주,향기    바디감     증류주 포도  과일류,200ml,30000,도란원,포도
239,239,샹스프랑보아즈,4.0,3.0,3.0,2,13,0.0,과실주, 단맛 신맛 청량감      과실주 복분자  파티,500ml,15000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
240,240,서울의밤,,,,2,25,0.0,기타주류,향기         기타주류 꿀  홈술,375ml,7500,더한주류,"매실증류주원액,벌꿀,,노간주나무열매,정제수"
241,241,서주16,3.0,2.0,3.0,3,16,0.0,약주/청주, 단맛  청량감 바디감     약주/청주 감자  선물,400ml,22500,오대서주양조,"백미,감자,누룩,효모,정제수"
242,242,석로주,1.0,1.0,1.0,4,13,0.0,약주/청주,    바디감     약주/청주 쌀 버섯  선물,720ml,34000,석이원주조,"국내산쌀,석이버섯,누룩,효모,정제수"
243,243,석탄주약주,1.0,3.0,2.0,3,15,0.0,약주/청주,  신맛  바디감     약주/청주 쌀 찹쌀  명절,500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
244,244,석탄주탁주,2.0,3.0,3.0,4,15,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 찹쌀  고문헌,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
245,245,선운산복분자와인,4.0,4.0,3.0,2,13,0.0,과실주, 단맛 신맛 청량감      과실주 복분자  소용량,300ml,6000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
246,246,선운산복분자주,4.0,4.0,3.0,2,16,0.0,과실주, 단맛 신맛 청량감      과실주 복분자  홈술,375ml,6250,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
247,247,선운산복분자주프리미엄,4.0,3.0,3.0,2,19,0.0,과실주, 단맛 신맛 청량감      과실주 복분자  진한맛,700ml,40000,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
248,248,선운산의아침복분자막걸리,2.0,2.0,1.0,4,6,0.0,탁주,    바디감     탁주 쌀 복분자  ,750ml,2333,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수"
249,249,선호생막걸리,2.0,3.0,3.0,3,6,1.0,탁주,  신맛 청량감 바디감  담백  탄산 탁주 쌀  ,750ml,1700,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수"
250,250,설궁,2.0,,,2,30,0.0,기타주류,         기타주류 꿀 삼 버섯  겨울,700ml,10000,솔래원,"자연산송이버섯,산양산삼,토종벌꿀"
251,251,설레온,2.0,,,3,40,0.0,증류주,    바디감     증류주 쌀  ,375ml,20000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,정제수"
252,252,설련주,2.0,4.0,2.0,3,16,0.0,약주/청주,  신맛  바디감     약주/청주 쌀 찹쌀  선물,750ml,35000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩"
253,253,설성만월막걸리,2.0,3.0,2.0,3,8,0.0,탁주,  신맛  바디감     탁주 쌀  ,750ml,4000,병영주조장,"정제수,유기농쌀국내산,누룩,유기농올리고당등"
254,254,설하담,3.0,1.0,4.0,2,8,1.0,탁주, 단맛  청량감     탄산 탁주 쌀  홈술,475ml,3900,리큐랩주식회사,"국내산멥쌀,개량누룩,정제수,이산화탄소"
255,255,성포생막걸리,3.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  ,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,무농약미나리추출액,정제효소,종국,효모,아스파탐"
256,256,세우리,,,,4,45,0.0,증류주,향기    바디감 목넘김    증류주 쌀 구기자 삼  ,700ml,250000,제주샘영농조합법인,"산양삼,하수오,구기자,쌀"
257,257,세종대왕어주약주,3.0,1.0,1.0,3,15,0.0,약주/청주, 단맛   바디감  담백   약주/청주 쌀  선물,500ml,25900,농업회사법인장희도가(주),"쌀,누룩,정제수"
258,258,세종대왕어주탁주,3.0,3.0,1.0,2,13,0.0,탁주, 단맛 신맛    담백   탁주 쌀  고문헌,500ml,16900,농업회사법인장희도가(주),"쌀,누룩,정제수"
259,259,세종쌀막걸리,3.0,1.0,3.0,3,6,0.0,탁주, 단맛  청량감 바디감     탁주  ,750ml,1500,조은술세종,"정제수,백미,소맥분,전분당,효모,젖산등"
260,260,세종알밤주,4.0,1.0,3.0,4,6,0.0,기타주류, 단맛  청량감 바디감  담백   기타주류 밤  ,750ml,1500,조은술세종,"정제수,백미,소맥분,알밤,전분당,효모,젖산등"
261,261,세종오가닉,1.0,3.0,,1,13,0.0,약주/청주,  신맛   목넘김    약주/청주  선물,375ml,9000,조은술세종,"정제수,유기농백미,국,효모,정제효소,구연산"
262,262,세종청주생막걸리,2.0,1.0,3.0,3,6,0.0,탁주,   청량감 바디감     탁주 쌀  ,750ml,1500,조은술세종,"쌀,소맥분,국,조제종국,효모,물엿등"
263,263,소나무와학,4.0,,,4,43,0.0,증류주,향기 단맛   바디감     증류주 쌀 솔잎  ,750ml,39000,용두산조은술,"쌀,솔잎,황기,당귀,효모,아스파탐"
264,264,소백산검은콩막걸리,3.0,1.0,1.0,3,6,0.0,탁주, 단맛   바디감     탁주  ,750ml,1800,대강양조장,"백미,소맥분,검은콩,검은깨등"
265,265,소백산생막걸리,2.0,3.0,2.0,4,6,0.0,탁주,  신맛  바디감     탁주 쌀  파티,750ml,1980,대강양조장,"쌀,정제수,소맥분,입국,효모등"
