,index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료
266,266,소백산생만찬주,2.0,2.0,2.0,2,6,0.0,탁주,         탁주 쌀  ,750ml,1200,대강양조장,"정제수,쌀,소맥분,입국,효모,아스파탐등"
267,267,소백산오곡진상주,1.0,4.0,3.0,3,7,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 보리 밀  ,750ml,1500,대강양조장,"쌀,밀,보리,옥수수,조등"
268,268,소백산청동동주,2.0,1.0,2.0,2,10,0.0,약주/청주,         약주/청주 쌀  ,"1,700ml",3000,대강양조장,"쌀,소맥분,누룩,주정,고과당,대추등"
269,269,소양강생막걸리,1.0,3.0,2.0,3,6,0.0,탁주,  신맛  바디감     탁주  ,750ml,1200,소양강도가(구.천정양조장),"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수"
270,270,솔송주,2.0,1.0,,3,13,0.0,약주/청주,    바디감 목넘김 담백   약주/청주  선물,375ml,7000,명가원영농조합법인,"정제수,백미,국내산송순농축액,누룩,조제종국,효모"
271,271,송명섭막걸리,1.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  선물,900ml,3000,태인합동주조,"국내산쌀,곡자,정제수"
272,272,송이주,1.0,4.0,1.0,2,13,0.0,약주/청주,  신맛       약주/청주 쌀  홈술,375ml,12000,내국양조,"국내산쌀,송이농충액,누룩,정제수"
273,273,송화백일주,,,3.0,3,38,0.0,기타주류,   청량감 바디감 목넘김    기타주류 쌀 찹쌀 오미자 구기자 꿀 솔잎 산수유  ,500ml,45000,송화양조사,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀"
274,274,순향주,2.0,2.0,2.0,2,15,0.0,약주/청주,         약주/청주 쌀  파티,375ml,18666,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
275,275,술공방9,3.0,2.0,1.0,3,9,1.0,탁주, 단맛   바디감  담백  탄산 탁주 쌀 밀  ,500ml,5000,두이술공방,"쌀,밀누룩,국,효모,효소,올리고당"
276,276,술그리다생탁주,2.0,1.0,1.0,1,10,0.0,탁주,      담백   탁주 쌀  ,500ml,9000,농업회사법인(주)좋은술,"국내산쌀,누룩"
277,277,술샘이화주,4.0,1.0,0.0,1,8,0.0,탁주, 단맛        탁주 쌀  고문헌,100ml,6500,술샘,"쌀,누룩,정제수"
278,278,술아국화주,4.0,3.0,2.0,4,15,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀 꽃  홈술,375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조국화꽃,증류주,정제수"
279,279,술아막걸리,3.0,4.0,3.0,4,8,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  ,450ml,7000,농업회사법인(주)술아원,"국내산찹쌀,누룩,정제수"
280,280,술아매화주,5.0,3.0,2.0,4,15,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀 꽃  홈술,375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수"
281,281,술아순곡주,5.0,3.0,2.0,5,20,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀  홈술,375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,증류주,정제수"
282,282,술아연화주,5.0,3.0,2.0,4,15,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀 꽃  홈술,375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수"
283,283,술예쁘다생탁주,1.0,3.0,1.0,2,13,0.0,탁주,  신맛       탁주 쌀  무감미료,500ml,18000,농업회사법인(주)좋은술,"국내산쌀,누룩"
284,284,술취한원숭이,4.0,2.0,2.0,2,10.8,0.0,탁주, 단맛     담백   탁주 쌀  이색전통주,375ml,7000,술샘,"쌀,누룩,홍국,정제수"
285,285,술헤는밤,2.0,4.0,2.0,3,8,0.0,탁주,  신맛  바디감     탁주 쌀  ,750ml,5900,농업회사법인두루(주),"국내산쌀,누룩,정제수"
286,286,스타베리오디와인,3.0,4.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  ,500ml,28000,(주)한국와인,양조용포도
287,287,시나브로드글로리아,3.0,3.0,2.0,2,12,0.0,과실주, 단맛 신맛       과실주 포도  홈술,750ml,25000,불휘농장,포도
288,288,시나브로레드드라이,2.0,3.0,3.0,3,12,0.0,과실주,  신맛 청량감 바디감     과실주 포도  ,750ml,25000,불휘농장,포도
289,289,시나브로레드스위트,3.0,3.0,3.0,2,12,0.0,과실주, 단맛 신맛 청량감      과실주 포도  홈술,750ml,25000,불휘농장,포도
290,290,시나브로로제와인,3.0,3.0,3.0,3,10,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  파티,500ml,30000,불휘농장,포도
291,291,시나브로에뚜왈로제스파클링와인,2.0,3.0,4.0,2,5,1.0,과실주,  신맛 청량감    탄닌감 탄산 과실주 포도  파티,750ml,30000,불휘농장,포도
292,292,시나브로에뚜왈스파클링,3.0,3.0,4.0,2,5,1.0,과실주, 단맛 신맛 청량감     탄산 과실주 포도  과일류,750ml,30000,불휘농장,포도
293,293,시나브로화이트와인,4.0,4.0,4.0,3,11,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  선물,500ml,30000,불휘농장,청포도
294,294,시인의마을우리쌀막걸리,2.0,3.0,3.0,4,10,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  ,700ml,7900,이원양조장,"쌀,누룩,정제수,무감미료"
295,295,신례명주,,,4.0,4,50,0.0,증류주,   청량감 바디감     증류주 귤  과일류,750ml,99000,농업회사법인(주)시트러스,"감귤,감귤증류주"
296,296,신선주,3.0,3.0,2.0,4,16,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 구기자 삼 솔잎  명절,750ml,19000,용두산조은술,"쌀,능금,신선초,천궁,구기자,당귀솔잎,대추,인삼"
297,297,신선주백주,2.0,3.0,1.0,3,10,0.0,탁주,  신맛  바디감 목넘김    탁주 쌀 찹쌀 약재  무감미료,500ml,15000,농업회사법인(주)신선,"청원생명쌀,정제수,찹쌀,전통누룩,약재,숙지황,생지황)"
298,298,신선주약주,3.0,3.0,3.0,3,16,0.0,약주/청주, 단맛 신맛 청량감 바디감     약주/청주 쌀 찹쌀 약재  ,500ml,25000,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)"
299,299,신선주증류주,,4.0,,3,52/42/35,0.0,증류주,향기  신맛  바디감     증류주 쌀 찹쌀 약재  ,375ml,60000,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)"
300,300,심플리애플,4.0,,,1,12,0.0,기타주류,향기 단맛        기타주류 쌀 사과 꿀  ,350ml,9000,주식회사배혜정농업회사법인,"쌀,사과즙,벌꿀"
301,301,아이싱,3.0,1.0,1.0,3,4,0.0,탁주, 단맛   바디감     탁주 쌀  탄산,300ml,1300,국순당,"쌀,자몽엑기스"
302,302,아이원막걸리,3.0,3.0,3.0,2,6,0.0,탁주, 단맛 신맛 청량감      탁주 쌀 밀  ,750ml,1000,이원양조장,"쌀,밀,입국,누룩,정제수"
303,303,아황주,1.0,3.0,1.0,3,17,0.0,약주/청주,  신맛  바디감     약주/청주 쌀 찹쌀  고문헌,500ml,23000,최행숙전통주가,"찹쌀,멥쌀,누룩,정제수"
304,304,안동소주느낌19.8,,,,2,19.8,0.0,증류주,         증류주  저도수,360ml,4000,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
305,305,안동소주느낌30,,,,3,30,0.0,증류주,향기    바디감 목넘김    증류주  ,360ml,6500,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
306,306,안동소주일품17,3.0,,,2,17,0.0,증류주, 단맛        증류주 쌀  ,350ml,4000,안동소주일품,"국내산쌀,입국"
307,307,안동소주일품21,3.0,,,2,21,0.0,증류주, 단맛        증류주 쌀  ,350ml,4500,안동소주일품,"국내산쌀,입국"
308,308,안동소주일품골드,3.0,,,3,40,0.0,증류주, 단맛   바디감     증류주 쌀  ,500ml,18000,안동소주일품,"국내산쌀,입국"
309,309,안동소주필Feel,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주  ,500ml,25000,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
310,310,안성맞춤생막걸리,3.0,2.0,3.0,2,6,0.0,탁주, 단맛  청량감      탁주 쌀  ,"1,000ml",2000,한주양조,"국내산쌀,누룩,효모,젖산,정제효소,정제수"
311,311,안양동동주,3.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  ,800ml,1100,안양주조장,"쌀,찹쌀,전통누룩,정제수"
312,312,애석,4.0,1.0,3.0,3,15,0.0,약주/청주, 단맛  청량감 바디감     약주/청주 쌀  명절,500ml,30000,농업회사법인두루(주),"국내산쌀,누룩,정제수"
313,313,애피소드상그리아,4.0,4.0,4.0,2,3.5,1.0,과실주, 단맛 신맛 청량감    탄닌감 탄산 과실주 포도  저도수,500ml,3500,(주)한국애플리즈,"포도와인,정제주정,정제수,포도농축액,고과당"
314,314,애피소드애플,4.0,4.0,4.0,2,3.5,1.0,과실주, 단맛 신맛 청량감     탄산 과실주 사과  저도수,500ml,3500,(주)한국애플리즈,"사과와인,정제주정,정제수,사과농축액,고과당"
315,315,애피소드호프,4.0,4.0,4.0,2,3.5,0.0,기타주류, 단맛 신맛 청량감      기타주류 쌀 사과 보리  과일류,500ml,3500,(주)한국애플리즈,"사과과즙,보리,쌀,홉"
316,316,야관문막걸리,1.0,3.0,2.0,1,6,0.0,탁주,  신맛       탁주 쌀  ,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모,야관문"
317,317,양촌생동동주,2.0,3.0,2.0,2,10,0.0,탁주,  신맛       탁주  무감미료,750ml,2400,양촌양조,"정제수,백미,효소제,효모등"
318,318,양촌생막걸리,2.0,2.0,3.0,2,6,0.0,탁주,   청량감      탁주  ,750ml,1500,양촌양조,"팽화미,소맥분,정제수,물엿,효소,국등"
319,319,어우야,,,,2,16,0.0,기타주류,     목넘김    기타주류  홈술,365ml,9900,왕지케양조장(제주본초협동조합),"야관문,정제수,,효모"
320,320,여강,,,,3,25,0.0,증류주,향기    바디감 목넘김    증류주 쌀  ,375ml,20000,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
321,321,여포의꿈레드드라이,2.0,2.0,,2,12,0.0,과실주,       탄닌감  과실주 포도  선물,750ml,20000,여포와인농장,국내산포도
322,322,여포의꿈레드스위트,4.0,1.0,,3,12,1.0,과실주, 단맛   바디감   탄닌감 탄산 과실주 포도  선물,750ml,20000,여포와인농장,국내산포도
323,323,여포의꿈화이트,1.0,2.0,,2,12,0.0,과실주,         과실주 포도  선물,375ml,20000,여포와인농장,국내산포도
324,324,연천아주,2.0,4.0,3.0,3,8,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  ,750ml,6000,농업회사법인연천양조(주),"쌀,누룩,정제수"
325,325,연천연주,2.0,4.0,2.0,3,12,0.0,약주/청주,  신맛  바디감     약주/청주 쌀  저도수,500ml,15000,농업회사법인연천양조(주),"쌀,누룩,정제수"
326,326,연천우주,,,,3,22,0.0,증류주,향기    바디감     증류주 쌀  ,360ml,8500,농업회사법인연천양조(주),"쌀,누룩,효모,효소,연천율무,정제수"
327,327,영일만친구막걸리,2.0,2.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀  ,750ml,1666,동해명주,"국내산쌀,물엿,우뭇가사리,효모,조제종국,정제효소제,아스파탐,젖산"
328,328,예담은한산소곡주,4.0,1.0,1.0,3,16,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 찹쌀  명절,750ml,12000,한산예담은소곡주,"찹쌀,멥쌀,누룩,대두,구절초"
329,329,예담은한산소곡화주,3.0,,,3,41,0.0,증류주, 단맛   바디감     증류주 쌀 찹쌀  명절,500ml,30000,한산예담은소곡주,"찹쌀,멥쌀,누룩,대두,구절초"
330,330,예밀와인레드드라이,1.0,1.0,2.0,3,13,0.0,과실주,    바디감     과실주 포도  ,750ml,20000,예밀2리영농조합법인,포도
331,331,예밀와인로제,1.0,1.0,2.0,3,12,0.0,과실주,    바디감     과실주 포도  ,750ml,20000,예밀2리영농조합법인,포도
332,332,예밀와인레드스위트,4.0,1.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 포도  ,750ml,20000,예밀2리영농조합법인,포도
333,333,예주,1.0,3.0,1.0,3,15,0.0,과실주,  신맛  바디감     과실주 복분자  ,750ml,29000,용두산조은술,"복분자,주정,효모,정제수"
334,334,예천주복만월24,,,,2,24,0.0,증류주,향기         증류주 복분자  베리류,350ml,12800,농업회사법인(주)착한농부,"복분자증류원액,복분자과즙,정제수"
335,335,예천주복만월40,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 복분자  베리류,350ml,19200,농업회사법인(주)착한농부,"복분자증류원액,복분자과즙,정제수"
336,336,예천주사월24,,,,2,24,0.0,증류주,향기         증류주 오미자  베리류,375ml,22000,농업회사법인(주)착한농부,"오미자증류원액,건오미자추출액,정제수"
337,337,예천주사월36.5,,,,2,36.5,0.0,증류주,향기     목넘김    증류주 오미자  베리류,375ml,29000,농업회사법인(주)착한농부,"오미자증류원액,건오미자추출액,정제수"
338,338,예화,2.0,1.0,1.0,3,13,0.0,약주/청주,    바디감     약주/청주 쌀  ,750ml,10000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,물엿,정제수"
339,339,옛날막걸리古,2.0,2.0,1.0,4,7.8,0.0,탁주,    바디감     탁주 쌀  무감미료,750ml,2700,국순당,"배정제수,쌀,국,과당,효모/에탄올함량:"
340,340,오디랑,3.0,1.0,,1,13,0.0,과실주, 단맛    목넘김    과실주 오디  소용량,330ml,4000,국순당고창명주,"오디,정제수,과당,주정,구연산,효모"
341,341,오매백주,5.0,1.0,1.0,1,12,0.0,탁주, 단맛     담백   탁주 쌀  무감미료,500ml,5000,농업회사법인오산양조(주),"쌀,국,효모,정제수"
342,342,오메기맑은술,1.0,5.0,1.0,3,16,0.0,약주/청주,  신맛  바디감     약주/청주 쌀  선물,500ml,25000,제주술익는집,"좁쌀,햅쌀,정제수,누룩"
343,343,오메기술,2.0,2.0,1.0,3,13,0.0,약주/청주,    바디감  담백   약주/청주 쌀 감초  홈술,375ml,13000,제주샘영농조합법인,"쌀,차조,입국,누룩,효모,효소,청호,조릿대,감초,정제수"
344,344,오매락퍽,3.0,,,4,40,0.0,기타주류,향기 단맛   바디감     기타주류  이색전통주,500ml,52000,(주)배상면주가,"구운매실,배증류원액"
345,345,오목대,2.0,3.0,4.0,3,5,0.0,기타주류,  신맛 청량감 바디감     기타주류 보리  탄산,1000ml,9000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,말토텍스트린,호프펠렛,효모,정제효소제,정제수"
346,346,오미로제프리미어와인,3.0,4.0,4.0,4,12,0.0,과실주, 단맛 신맛 청량감 바디감   탄닌감  과실주 오미자  선물,750ml,39000,농업회사법인(주)제이엘,오미자
347,347,오미시앙스페셜,1.0,3.0,,2,12,0.0,과실주,  신맛       과실주 오미자  ,500ml,10000,알에프,"오미자,주정,설탕,효모"
348,348,오산막걸리,2.0,4.0,2.0,3,6,0.0,탁주,  신맛  바디감  담백   탁주 쌀  무감미료,500ml,3000,농업회사법인오산양조(주),"쌀,국,효모,정제수"
349,349,오희스파클링막걸리,1.0,3.0,3.0,2,8.5,1.0,탁주,  신맛 청량감   담백  탄산 탁주 오미자  ,500ml,18000,문경주조,"백미,건오미자,조효소제,효모,정제수"
350,350,왕율주,,,,3,25,0.0,증류주,향기    바디감 목넘김    증류주 쌀 밤  ,330ml,8000,농업회사법인사곡양조원,"국내산쌀,밤,누룩,정제수"
351,351,왕피천을품은미소생막걸리,3.0,3.0,3.0,2,7,0.0,탁주, 단맛 신맛 청량감      탁주 쌀  ,750ml,1200,울진술도가,"쌀,누룩,정제수"
352,352,우곡생주,4.0,2.0,2.0,5,10,0.0,탁주, 단맛   바디감     탁주 쌀  무감미료,750ml,6500,배혜정도가,"쌀,국,효모,정제수"
353,353,우도땅콩전통주,4.0,1.0,3.0,3,6,0.0,기타주류, 단맛  청량감 바디감  담백   기타주류 땅콩  저도수,750ml,4000,조은술세종,"정제수,전분당,백미,국,땅콩분,효모,젖산등"
354,354,우렁이쌀손막걸리,4.0,1.0,3.0,2,7.5,0.0,탁주, 단맛  청량감      탁주 쌀  ,750ml,2600,양촌양조,"쌀,정제수효모,정제효소,효소처리스테비아"
355,355,운암1945,3.0,3.0,,3,12,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀  ,750ml,28000,농업회사법인우포의아침주식회사,"쌀,누룩,정제수"
356,356,원매,,,,3,15,0.0,기타주류,향기    바디감     기타주류 꿀  홈술,750ml,35000,더한주류,"매실원주액,매실청,꿀,카라멜,효소처리스테비아,정제수"
357,357,원매프리미엄,2.0,,,4,20,0.0,기타주류,향기    바디감     기타주류 꿀  ,700ml,45000,더한주류,"매실주원액,발효주정,정제수,꿀"
358,358,원조소곡화주,,,,2,41,0.0,증류주,향기     목넘김    증류주 쌀 찹쌀  소용량,300ml,14000,원조소곡주,"찹쌀,멥쌀,누룩"
359,359,원조한산소곡주,3.0,1.0,4.0,2,16,0.0,약주/청주, 단맛  청량감      약주/청주 쌀 찹쌀  ,750ml,12000,원조소곡주,"찹쌀,멥쌀,누룩,대두,구절초"
360,360,월매쌀막걸리,2.0,2.0,3.0,1,6,0.0,탁주,   청량감      탁주  소용량,350ml,1200,서울장수주식회사,"백미,말토올리고당,정제수"
361,361,유기농이도14,3.0,3.0,3.0,2,14,0.0,약주/청주, 단맛 신맛 청량감      약주/청주 쌀 밀  선물,750ml,20000,농업회사법인조은술세종(주),"유기농쌀,우리밀누룩,조제종국,효모,정제수"
362,362,유기농이도42,2.0,0.0,0.0,3,42,0.0,증류주,    바디감     증류주 쌀  선물,750ml,42000,조은술세종,"유기농쌀,정제수,증류원액,국,조제종국,효모등"
363,363,유자동동주,2.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  ,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,유자과즙,치자,정제효소,종국,효모,젖산,아스파탐"
364,364,유자생막걸리,2.0,3.0,3.0,5,5,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  ,750ml,1800,배혜정도가,"쌀,유자,정제수,고과당,효모등"
365,365,율무동동주,2.0,4.0,3.0,4,14,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  드라이,750ml,14000,농업회사법인연천양조(주),"쌀,누룩,효모,연천율무,정제수"
366,366,은자골곶감생탁배기,1.0,1.0,3.0,5,6,0.0,탁주,   청량감 바디감     탁주  ,750ml,1500,은척양조장,"백미,소맥분,정제수,곶감분말,전분당,국,누룩,효소,아스파탐등"
367,367,은자골생탁배기,1.0,3.0,3.0,3,5,0.0,탁주,  신맛 청량감 바디감     탁주  ,750ml,1500,은척양조장,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등"
368,368,이강주19,2.0,0.0,2.0,4,19,0.0,기타주류,    바디감     기타주류 쌀 꿀 생강 계피  ,375ml,4500,전주이강주,"쌀,소맥분,정맥,배,생강,계피,울금,꿀"
369,369,이강주25,2.0,0.0,2.0,2,25,0.0,기타주류,         기타주류 쌀 꿀 생강 계피  ,750ml,28000,전주이강주,"쌀,소맥분,정맥,배,생강,계피,울금,꿀"
370,370,이도32,2.0,,,2,32,0.0,증류주,     목넘김    증류주  ,750ml,37000,조은술세종,"물,증류원액"
371,371,이동생쌀막걸리,1.0,3.0,3.0,4,6,0.0,탁주,  신맛 청량감 바디감     탁주  탄산,750ml,1300,이동주조,"정제수,백미,팽화미,입국,아스파탐등"
372,372,이동쌀막걸리,3.0,1.0,1.0,3,6,0.0,탁주, 단맛   바디감     탁주  ,"1,200ml",1600,이동주조,"정제수,백미,팽화미,입국,아스파탐등"
373,373,이상헌약주,3.0,3.0,3.0,3,18,0.0,약주/청주, 단맛 신맛 청량감 바디감     약주/청주 쌀  진한맛,500ml,45000,이가수불,"아산쌀,국,정제수"
374,374,이상헌탁주,2.0,3.0,3.0,3,19,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  ,500ml,25000,이가수불,"아산쌀,국,정제수"
375,375,이화백주,3.0,3.0,4.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  파티,940ml,12000,이화백주순탁주,"국내산햅쌀,전통누룩,정제수"
376,376,인천생소성주,1.0,2.0,1.0,2,6,0.0,탁주,         탁주 쌀  탄산,750ml,1200,인천탁주,"쌀,팽화미,정제수,국,효모,아스파탐,효소,이소말토올리고당"
377,377,입장탁주,2.0,2.0,2.0,2,6,0.0,탁주,         탁주 쌀  ,750ml,1200,농업회사법인입장주조㈜,"쌀,정제수,고과당,효모등"
378,378,자두와인레드,2.0,3.0,2.0,2,12,0.0,과실주,  신맛       과실주  이색전통주,750ml,22000,자두사랑,피자두
379,379,자두와인화이트,2.0,3.0,2.0,4,12,0.0,과실주,  신맛  바디감     과실주  ,750ml,22000,자두사랑,후무사
380,380,자연담은복분자막걸리,2.0,1.0,1.0,5,6,0.0,탁주,    바디감     탁주 쌀 복분자  ,360ml,2800,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수"
381,381,자연송이주,1.0,,,1,18,0.0,기타주류,         기타주류 버섯  ,720ml,16000,솔래원,자연송이버섯
382,382,자희향국화주,1.0,2.0,1.0,4,15,0.0,약주/청주,    바디감     약주/청주 쌀 찹쌀  무감미료,500ml,20000,자희자양,"찹쌀,멥쌀,누룩,정제수,국화"
383,383,자희향나비생탁주,2.0,1.0,2.0,2,8,0.0,탁주,         탁주 쌀 찹쌀  ,500ml,8000,자희자양,"찹쌀,멥쌀,누룩,정제수"
384,384,자희향탁주,2.0,2.0,1.0,3,12,0.0,탁주,    바디감     탁주 쌀 찹쌀  선물,500ml,16000,자희자양,"찹쌀,멥쌀,누룩,정제수"
385,385,장수생막걸리,2.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주  탄산,750ml,1200,서울장수주식회사,"백미,말토올리고당"
386,386,장수오미자주,3.0,4.0,4.0,3,16.5,0.0,과실주, 단맛 신맛 청량감 바디감   탄닌감  과실주 오미자  베리류,360ml,5400,농업회사법인(주)알에프,"오미자,정제수,주정,설탕,효모"
387,387,장홍삼장수막걸리,1.0,4.0,3.0,5,6,0.0,탁주,  신맛 청량감 바디감     탁주 삼  ,750ml,2000,서울장수주식회사,"백미,말토올리고당,홍삼분말"
388,388,정고집나주배약주15,4.0,2.0,3.0,2,15,0.0,약주/청주, 단맛  청량감   담백   약주/청주 쌀  과일류,500ml,20000,남도탁주,"쌀,쌀가루,배착즙액,정제효소제,종국,젖산,효모"
389,389,정고집나주배약주9,4.0,2.0,3.0,3,9,0.0,약주/청주, 단맛  청량감 바디감     약주/청주 쌀  과일류,500ml,18000,남도탁주,"쌀,쌀가루,배착즙액,정제효소제,종국,젖산,효모"
390,390,정고집나주쌀생막걸리,3.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  ,750ml,1200,남도탁주,"쌀,쌀가루,조제종국,정제효소,젖산,아스파탐,아세셀팜칼"
391,391,정고집옛날생동동주,3.0,3.0,4.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  ,750ml,1800,남도탁주,"쌀,쌀가루,조제종국,정제효소,젖산,아스파탐,아세셀팜칼"
392,392,제주고소리술,,,,3,40,0.0,증류주,향기    바디감     증류주  ,400ml,45000,제주술익는집,"잡곡,누룩,정제수"
393,393,젤코바스페셜,2.0,4.0,2.0,3,11.5,0.0,과실주,  신맛  바디감     과실주 포도 머루  베리류,375ml,17000,농업회사법인(주)젤코바와이너리,"국내산산머루,MBA포도"
394,394,젤코바캠벨와인,3.0,4.0,2.0,3,13.5,0.0,과실주, 단맛 신맛  바디감     과실주 포도  베리류,750ml,62500,농업회사법인(주)젤코바와이너리,"유기농캠벨포도,유기농설탕"
395,395,젤코바프리미엄와인,1.0,4.0,2.0,4,12,0.0,과실주,  신맛  바디감     과실주 포도 머루  베리류,500ml,33000,농업회사법인(주)젤코바와이너리,"국내산산머루,MBA포도"
396,396,조선주조사,3.0,3.0,2.0,3,14,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀  홈술,300ml,4000,농업회사법인우포의아침(주),"쌀,입국,누룩,주정,정제수"
397,397,조은술세종바나나주,3.0,1.0,3.0,4,4,0.0,기타주류, 단맛  청량감 바디감  담백   기타주류 쌀  과일류,750ml,1700,조은술세종,"쌀,국,정제수,바나나농축액,조제종국,효모,물엿등"
398,398,주몽복분자주,3.0,1.0,1.0,3,16,0.0,기타주류, 단맛   바디감     기타주류 쌀 복분자  베리류,375ml,5000,농업회사법인(유)술소리,"쌀,복분자"
