,index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료
399,399,주산지막걸리,2.0,1.0,2.0,2,6,0.0,탁주,         탁주 쌀 밀  ,750ml,1200,청송양조장,"쌀,밀가루,누룩,입국,효모,고과당,물엿,아스파탐,삭카린나트륨,정제수"
400,400,주시락톡쏘는복분자막걸리,5.0,1.0,3.0,5,6,0.0,탁주, 단맛  청량감 바디감     탁주 쌀 복분자  ,750ml,1800,가평우리술,"쌀,정제수,쌀입국,복분자원액,효모등"
401,401,죽력고,,,,3,32,0.0,증류주,향기    바디감     증류주 쌀  선물,700ml,60000,태인합동주조,"국내산쌀,죽력,누룩,정제수"
402,402,죽향생막걸리,1.0,2.0,4.0,1,6,0.0,탁주,   청량감      탁주 쌀  ,750ml,2000,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수"
403,403,줄포생막걸리,2.0,2.0,3.0,4,6,0.0,탁주,   청량감 바디감     탁주 쌀  ,750ml,1200,내변산(동진주조),"쌀,종국정제수,누룩,효모,아스파탐"
404,404,지란지교무화과탁주,4.0,4.0,1.0,4,12,0.0,탁주, 단맛 신맛  바디감  담백   탁주 쌀 찹쌀 밀  과일류,500ml,15000,(유)친구들의술지란지교,"찹쌀,멥쌀,전통누룩,정제수,무화과청,레드비트분말,밀함유"
405,405,지란지교약주,4.0,4.0,,4,17,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀 밀  무감미료,375ml,20000,(유)친구들의술지란지교,"찹쌀·멥쌀,전통누룩,정제수,밀함유"
406,406,지란지교탁주,4.0,4.0,1.0,4,13,0.0,탁주, 단맛 신맛  바디감  담백   탁주 쌀 찹쌀  ,500ml,15000,(유)친구들의술지란지교,"탁주찹쌀,멥쌀,누룩,정제수"
407,407,지리산정담생막걸리,1.0,3.0,2.0,1,6,0.0,탁주,  신맛       탁주 쌀  ,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모"
408,408,지리산허브잎술,1.0,2.0,2.0,1,6,0.0,탁주,         탁주 쌀  ,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모,국내산허브"
409,409,지장수생막걸리,3.0,2.0,3.0,3,6,0.0,탁주, 단맛  청량감 바디감     탁주 쌀  ,750ml,1300,낙천,"정제수,쌀,효모,누룩,과당등"
410,410,지장수호박막걸리,2.0,1.0,1.0,2,6,0.0,탁주,         탁주 쌀  ,550ml,5000,낙천,"정제수,쌀,효모,누룩,과당등"
411,411,지장수호박생막걸리,3.0,1.0,2.0,2,6,0.0,탁주, 단맛        탁주 쌀  ,750ml,1400,낙천,"정제수,쌀,효모,누룩,과당등"
412,412,지평생쌀막걸리,4.0,1.0,4.0,2,5,0.0,탁주, 단맛  청량감      탁주 쌀  가성비,1.7L,2700,지평주조,"쌀,정제수,국,효모,정제효소등"
413,413,지평생옛막걸리,4.0,1.0,2.0,2,5,0.0,탁주, 단맛        탁주 밀  가성비,1.7L,2500,지평주조,"밀,정제수,국,분말종국,효모,정제효소등"
414,414,진도홍주루비콘,3.0,,,3,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀  ,375ml,10000,대대로영농조합법인,"쌀,누룩,지초,정제수"
415,415,진맥소주22,,,,2,22,0.0,증류주,향기         증류주 밀  홈술,375ml,22000,농업회사법인(주)밀과노닐다,유기농우리밀
416,416,진맥소주40,,,,2,40,0.0,증류주,향기     목넘김    증류주 밀  홈술,200ml,22000,농업회사법인(주)밀과노닐다,유기농우리밀
417,417,진맥소주53,,,,3,53,0.0,증류주,향기    바디감 목넘김    증류주 밀  ,200ml,39000,농업회사법인(주)밀과노닐다,유기농우리밀
418,418,진심홍삼인삼주19,1.0,0.0,0.0,3,19,0.0,증류주,    바디감     증류주 쌀 삼  삼(蔘)류,375ml,7000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등"
419,419,진심홍삼인삼주38,1.0,0.0,0.0,2,38,0.0,증류주,         증류주 쌀 삼  ,750ml,70000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등"
420,420,진심홍삼주19,3.0,1.0,1.0,2,19,0.0,증류주, 단맛        증류주 쌀 삼  ,375ml,3000,태평주가,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등"
421,421,진쾌남,,,,3,25,0.0,기타주류,향기    바디감 목넘김    기타주류 쌀 오미자 구기자 밤 산수유 오가피  ,330ml,8500,농업회사법인사곡양조원,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수"
422,422,찰막걸리,2.0,2.0,3.0,2,5.5,0.0,탁주,   청량감      탁주 쌀 찹쌀 밀  ,750ml,1500,(주)1932포천일동막걸리,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐"
423,423,창원생탁주,3.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  ,750ml,1000,농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수"
424,424,천년담주,2.0,1.0,1.0,4,15,0.0,약주/청주,    바디감     약주/청주 꿀  ,500ml,10000,농업회사법인(주)죽향도가,"백미,벌꿀,정제수"
425,425,천년전주생막걸리,1.0,1.0,2.0,3,6,0.0,탁주,    바디감     탁주 쌀  ,750ml,1300,(유)산에들에농업회사법인,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소"
426,426,천년주,,,,2,25,0.0,증류주,     목넘김    증류주 쌀  ,375ml,15000,농업회사법인(주)영덕주조,"쌀,천년초,조효소제,효모,젖산,정제효소,구연산,정제수"
427,427,천등산차례주,3.0,2.0,2.0,3,11,0.0,약주/청주, 단맛   바디감     약주/청주 쌀  ,700ml,5900,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수"
428,428,천마몽,3.0,,,3,38,0.0,기타주류, 단맛   바디감     기타주류 쌀  ,375ml,15000,덕유양조,"쌀,누룩,효모,천마,정제수"
429,429,천마이야기,2.0,2.0,2.0,5,6,0.0,탁주,    바디감     탁주 오미자  ,750ml,1500,농업회사법인산들벗(주),"팽화미,입국미,무주천마분말,오미자추출액"
430,430,천매,2.0,,,4,30,0.0,기타주류,향기    바디감     기타주류 꿀  ,600ml,130000,더한주류,"매실주원액,발효주정,정제수,꿀"
431,431,천비향오양주약주,2.0,2.0,1.0,3,16,0.0,약주/청주,    바디감     약주/청주 쌀  파티,500ml,40000,농업회사법인(주)좋은술,"국내산쌀,누룩"
432,432,천비향오양주탁주,2.0,2.0,1.0,3,14,0.0,탁주,    바디감     탁주 쌀  선물,500ml,18000,농업회사법인(주)좋은술,"국내산쌀,누룩"
433,433,천비향화주,,,,2,40,0.0,증류주,향기     목넘김    증류주 쌀  선물,375ml,50000,농업회사법인(주)좋은술,"국내산쌀,누룩"
434,434,천안연미주,2.0,3.0,4.0,2,13,0.0,약주/청주,  신맛 청량감      약주/청주 삼 약재  ,360ml,5000,농업회사법인입장주조㈜,"백미,한약재홍삼외가지"
435,435,천지주가햅쌀생막걸리,3.0,2.0,2.0,5,6,0.0,탁주, 단맛   바디감     탁주 쌀  ,750ml,1400,(유)산에들에농업회사법인,"쌀,정제수,국,효모등"
436,436,청남대블루베리생막걸리,3.0,2.0,3.0,2,6,1.0,탁주, 단맛  청량감   담백  탄산 탁주 쌀 베리  ,750ml,3000,농업회사법인명세주가(주),"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수"
437,437,청명주,4.0,4.0,2.0,4,17,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀  선물,500ml,23000,중원당,"국내산찹쌀,누룩,소맥분"
438,438,청산녹수꿀막걸리,1.0,2.0,3.0,4,8,0.0,탁주,   청량감 바디감     탁주 쌀 사과 꿀  ,750ml,1500,농업회사법인(주)청산녹수,"쌀,벌꿀,사과농축액,효모,정제효소"
439,439,청산녹수사미인주,2.0,2.0,4.0,3,8,0.0,탁주,   청량감 바디감     탁주 쌀 꿀  무감미료,750ml,4000,농업회사법인(주)청산녹수,"유기농햅쌀,벌꿀,입국,누룩,효모,정제수"
440,440,청산녹수생탁주,1.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 사과  ,750ml,1000,농업회사법인(주)청산녹수,"쌀,사과농축액,효모,정제효소"
441,441,청세주,3.0,1.0,1.0,4,18,0.0,약주/청주, 단맛   바디감     약주/청주 쌀  ,375ml,4000,병영주조장,쌀
442,442,청송얼음골동동주,2.0,3.0,4.0,2,6,0.0,탁주,  신맛 청량감      탁주 쌀 사과 밀  ,"1,200ml",1800,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수"
443,443,청송주왕사과막걸리,2.0,3.0,4.0,2,6,0.0,탁주,  신맛 청량감      탁주 쌀 사과 밀  ,750ml,1500,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수"
444,444,청양둔송구기주,3.0,1.0,1.0,2,16,0.0,약주/청주, 단맛        약주/청주 쌀 구기자 감초  선물,700ml,11500,청양둔송구기주,"쌀,누룩,구기자,감초,두충껍질"
445,445,청진주,2.0,2.0,1.0,1,16,0.0,약주/청주,         약주/청주 쌀 찹쌀  선물,375ml,30000,전통주연구개발원,"찹쌀,누룩,정제수"
446,446,청춘,2.0,2.0,1.0,3,15,0.0,약주/청주,    바디감     약주/청주 쌀  ,750ml,20000,농업회사법인신탄진주조(주),"쌀,누룩,정제수"
447,447,초선의꿈로제,1.0,3.0,,2,12,0.0,과실주,  신맛   목넘김  탄닌감  과실주 포도  기념일,375ml,20000,여포와인농장,국내산포도
448,448,추사40,,,,3,40,0.0,증류주,향기    바디감     증류주 사과  과일류,500ml,60000,예산사과와인(주),사과
449,449,추사로제,2.0,3.0,2.0,1,12,0.0,과실주,  신맛       과실주 사과  ,375ml,20000,예산사과와인(주),사과
450,450,추사백25,3.0,,,2,25,0.0,증류주,향기 단맛        증류주  과일류,350ml,12000,예산사과와인,"증류원액,정제수"
451,451,추사블루,3.0,1.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 베리  이색전통주,375ml,20000,예산사과와인(주),블루베리
452,452,추사애플와인,3.0,1.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 사과  선물,375ml,20000,예산사과와인(주),사과
453,453,추성주,2.0,0.0,3.0,2,25,0.0,증류주,   청량감      증류주 쌀 오미자 구기자  선물,700ml,80000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근"
454,454,추시와인,3.0,2.0,2.0,3,12.5,0.0,기타주류, 단맛   바디감     기타주류  ,750ml,16000,양촌감영농조합법인,감
455,455,충주백주,,,,3,35,0.0,증류주,향기    바디감     증류주 쌀  ,375ml,7800,고헌정영농조합법인,"쌀증류원액,당귀,아스파탐,아세설팜K,구연산,정제수"
456,456,컨츄리산머루와인드라이,1.0,3.0,,3,14,0.0,과실주,  신맛  바디감 목넘김    과실주 머루  ,750ml,20000,컨츄리농원,국산산머루원액
457,457,컨츄리산머루와인스위트,2.0,3.0,,2,12,0.0,과실주,  신맛       과실주 머루  ,750ml,20000,컨츄리농원,국산산머루원액
458,458,컨츄리와인캠벨얼리스위트,3.0,1.0,,3,12,0.0,과실주, 단맛   바디감 목넘김    과실주 포도  ,750ml,15000,컨츄리농원,국산포도원액
459,459,코이버펑크머스캣베일리에이,3.0,3.0,3.0,4,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도
460,460,코이버펑크샤르도네세미용블랜드,2.0,4.0,4.0,3,11,0.0,과실주,  신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도
461,461,코이버펑크카베르네소비뇽,1.0,2.0,2.0,3,12,0.0,과실주,    바디감     과실주  베리류,750ml,65000,"고성찬,이금자,정재학",코이버펑크
462,462,쿨샷7.5,3.0,1.0,2.0,2,7.5,0.0,과실주, 단맛        과실주 복분자  저도수,300ml,3000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수"
463,463,크라테레드와인드라이,2.0,2.0,3.0,3,11.5,0.0,과실주,   청량감 바디감     과실주 머루  ,750ml,48000,수도산와이너리,산머루
464,464,크라테레드와인스위트,4.0,2.0,3.0,1,11.5,0.0,과실주, 단맛  청량감      과실주 머루  ,750ml,48000,수도산와이너리,산머루
465,465,크라테로제와인,4.0,1.0,3.0,3,11.5,0.0,과실주, 단맛  청량감 바디감   탄닌감  과실주 머루  ,375ml,18000,수도산와이너리,산머루
466,466,타미앙스,1.0,1.0,2.0,4,40,0.0,증류주,    바디감     증류주 쌀 오미자 구기자  선물,500ml,50000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근"
467,467,톡쏘는알밤동동,4.0,1.0,3.0,3,6,0.0,기타주류, 단맛  청량감 바디감     기타주류 쌀 밤  ,350ml,1300,가평우리술,"쌀,정제수,입국,밤농축액,밤추출물등"
468,468,톡한잔골드,3.0,,,4,43,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 보리  ,500ml,49000,농업회사법인(유)대마주조,"찰보리,쌀,민들레분말,볶음보리"
469,469,톡한잔소주,2.0,,,3,30,0.0,증류주,    바디감     증류주 쌀 보리  ,500ml,10000,농업회사법인(유)대마주조,"찰보리,쌀"
470,470,티나Tina,,,,5,16,0.0,기타주류,향기    바디감 목넘김    기타주류  이색전통주,750ml,54000,추성고을,"딸기추출물,죽력,정제수,주정,액상과당,구연산,딸기향,망고향"
471,471,펀치쌀바나나,3.0,1.0,2.0,4,4,1.0,기타주류, 단맛   바디감    탄산 기타주류 쌀  ,750ml,2000,내변산(동진주조),"쌀,바나나농축액,효모,종곡,정제수,합성착향료,합성감미료"
472,472,편백숲산소막걸리,3.0,3.0,3.0,3,5.2,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 사과  저도수,750ml,1900,농업회사법인(주)청산녹수,"멥쌀,올리고당,사과농축액,누룩,아스파탐"
473,473,편백숲산소막걸리딸기스파클링,3.0,2.0,5.0,3,6.8,1.0,탁주, 단맛  청량감 바디감    탄산 탁주 쌀 찹쌀  이색전통주,940ml,41000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩,딸기,올리고당"
474,474,편백숲산소막걸리순수령,3.0,1.0,1.0,4,5.8,0.0,탁주, 단맛   바디감     탁주 쌀 찹쌀  홈술,750ml,4000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩"
475,475,평창머루주,1.0,3.0,1.0,4,16,0.0,과실주,  신맛  바디감     과실주 머루  ,360ml,6500,농업회사법인(주)홍지원,국내산산머루
476,476,평창오디주,1.0,3.0,1.0,3,16,0.0,과실주,  신맛  바디감     과실주 오디  ,360ml,6500,농업회사법인(주)홍지원,국내산오디
477,477,포엠레드드라이와인,2.0,3.0,2.0,4,12,0.0,과실주,  신맛  바디감     과실주 포도 머루  ,750ml,25000,갈기산포도농원(주)농업회사법인,"포도,머루"
478,478,포엠레드스위트와인,4.0,3.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  ,750ml,25000,갈기산포도농원(주)농업회사법인,포도
479,479,포엠로제와인,4.0,3.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  ,750ml,35000,갈기산포도농원(주)농업회사법인,포도
480,480,포엠화이트와인,4.0,4.0,4.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 포도  과일류,750ml,35000,갈기산포도농원(주)농업회사법인,청포도
481,481,풍남문,2.0,3.0,4.0,2,5,0.0,기타주류,  신맛 청량감      기타주류 보리  ,1000ml,9000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수"
482,482,풍정사계동,2.0,,,3,25,0.0,증류주,향기    바디감     증류주  선물,375ml,25000,농업회사법인(유)화양,"국내산찹살,향온곡"
483,483,풍정사계추,1.0,2.0,1.0,4,12,0.0,탁주,    바디감     탁주  선물,500ml,15000,농업회사법인(유)화양,"국내산찹살,향온곡"
484,484,풍정사계춘,2.0,1.0,1.0,3,15,0.0,약주/청주,    바디감     약주/청주  선물,500ml,30000,농업회사법인(유)화양,"국내산찹살,향온곡"
485,485,풍정사계하,4.0,1.0,1.0,3,18,0.0,약주/청주, 단맛   바디감     약주/청주  ,500ml,35000,농업회사법인(유)화양,"국내산찹살,향온곡"
486,486,하향주,3.0,3.0,1.0,4,17,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀  ,750ml,45000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수"
487,487,하향주증류주,,,,4,45,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀  ,700ml,70000,하향주가영농조합법인,"국내산찹쌀,누룩,정제수"
488,488,한비동충하초술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오가피  ,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수"
489,489,한비무병장수술,,,,4,35,0.0,기타주류,향기    바디감     기타주류 쌀 오미자 복분자 구기자 삼 산수유 오가피  삼(蔘)류,375ml,30000,제천한약영농조합법인,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유"
490,490,한비쌀소주,,,,2,40,0.0,증류주,     목넘김    증류주 쌀  ,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,정제수"
491,491,한비오가피술,,,,3,35,0.0,기타주류,    바디감     기타주류 쌀 오가피  ,375ml,30000,제천한약영농조합법인,"국내산쌀,누룩,가시오가피뿌리,정제수"
492,492,한산소곡주,3.0,1.0,,4,18,0.0,약주/청주, 단맛   바디감 목넘김    약주/청주 쌀 찹쌀 생강  선물,360ml,6500,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추"
493,493,한스오차드사과와인,4.0,3.0,2.0,2,11,0.0,과실주, 단맛 신맛       과실주 사과  홈술,750ml,20000,(주)한국애플리즈,국산사과원액
494,494,한시울,,,,4,40,0.0,증류주,향기    바디감 목넘김    증류주 쌀  ,500ml,18000,농업회사법인명세주가(주),"국내산쌀,누룩,효모,구연산,정제수"
495,495,한주,,,,3,35,0.0,증류주,향기    바디감 목넘김    증류주 쌀 밀  ,360ml,12000,한주양조,"국내산쌀,밀누룩,정제수"
496,496,해미읍성딸기와인,3.0,2.0,1.0,3,12,0.0,과실주, 단맛   바디감     과실주  ,500ml,20000,농업회사법인해미읍성딸기와인(주),"해미딸기,아황산염,소르빈산염"
497,497,해미읍성매실와인,5.0,1.0,2.0,4,12,0.0,과실주, 단맛   바디감     과실주  ,500ml,20000,농업회사법인해미읍성딸기와인(주),"매실,아황산염,소르빈산염"
498,498,해미읍성모과와인,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주  ,500ml,20000,농업회사법인해미읍성딸기와인(주),"모과,아황산염,소르빈산염"
499,499,해미읍성살구와인,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주  ,500ml,20000,농업회사법인해미읍성딸기와인(주),"살구,아황산염,소르빈산염"
500,500,해방주18.8,,,,2,18.8,0.0,증류주,         증류주 쌀  저도수,375ml,12000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정세효소제,구연산"
501,501,해방주38,,,,3,38,0.0,증류주,향기    바디감 목넘김    증류주 쌀  ,800ml,45000,농업회사법인(주)영덕주조,"쌀,해방풍,조효소제,효모,젖산,정제효소제,구연산"
502,502,해창12도생막걸리,1.0,1.0,2.0,2,12,0.0,탁주,         탁주 쌀 찹쌀  ,900ml,10000,해창주조장,"햅쌀,찹쌀,물,누룩"
503,503,해창9도생막걸리,1.0,1.0,2.0,2,9,0.0,탁주,         탁주 쌀 찹쌀  홈술,900ml,6000,해창주조장,"햅쌀,찹쌀,물,누룩"
504,504,해창찹쌀생막걸리,1.0,1.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀 찹쌀  ,900ml,3000,해창주조장,"햅쌀,찹쌀,물,누룩"
505,505,해파랑,3.0,1.0,1.0,3,13,0.0,약주/청주, 단맛   바디감     약주/청주 쌀  ,375ml,10000,농업회사법인(주)영덕주조,"쌀,해방풍,계량누룩,젖산,이소말토올리고당,정제수"
506,506,햇찹쌀이하늘수,3.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  ,500ml,1100,안양주조장,"쌀,찹쌀,전통누룩,정제수"
507,507,행운막걸리,3.0,1.0,1.0,4,6,0.0,탁주, 단맛   바디감     탁주 쌀  ,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,정제효소,종국,효모,젖산,아스파탐"
508,508,행운주,2.0,2.0,2.0,2,12,0.0,약주/청주,         약주/청주 밀  ,750ml,9000,성포양조장,"백미,밀누룩,정제수,종국,효모,아스파탐"
509,509,향수우리밀막걸리,2.0,3.0,3.0,5,9,0.0,탁주,  신맛 청량감 바디감     탁주 밀  ,700ml,7900,이원양조장,"우리밀,누룩,정제수,무감미료"
510,510,허니문와인,4.0,2.0,2.0,2,10,0.0,기타주류, 단맛        기타주류 꿀  파티,375ml,35000,아이비영농조합법인,국내산벌꿀
511,511,허니비와인,3.0,1.0,1.0,4,8,0.0,기타주류, 단맛   바디감     기타주류 꿀  파티,500ml,35000,아이비영농조합법인,국내산벌꿀
512,512,호담,2.0,,,2,20,0.0,기타주류,         기타주류 삼  삼(蔘)류,300ml,18000,대농바이오우리산삼,"산양산삼,정제수,주정"
513,513,호담산양산삼막걸리,1.0,3.0,3.0,1,6,0.0,탁주,  신맛 청량감      탁주 쌀 삼  ,750ml,1800,대농바이오우리산삼,"쌀,입국,산양산삼,정제수,아스파탐"
514,514,호담산양산삼주,1.0,1.0,1.0,3,13,0.0,약주/청주,    바디감     약주/청주 삼  ,375ml,4000,대농바이오우리산삼,"산양산삼,정제주,주정"
515,515,호땅,3.0,1.0,2.0,4,6,0.0,기타주류, 단맛   바디감     기타주류 쌀 땅콩  ,750ml,2700,배혜정도가,"쌀,국,효모,정제수,땅콩"
516,516,호랑이생막걸리,4.0,1.0,2.0,2,6,0.0,탁주, 단맛        탁주 쌀  ,750ml,2200,배혜정도가,"쌀,정제수,국,효모,젖산등"
517,517,호모루덴스,1.0,2.0,2.0,4,12,0.0,탁주,    바디감     탁주 쌀  드라이,500ml,12000,농업회사법인(주)산수,"쌀,누룩,정제수"
518,518,혼디주,4.0,3.0,3.0,2,12,0.0,과실주, 단맛 신맛 청량감      과실주 귤  선물,330ml,8000,농업회사법인(주)시트러스,"감귤,정제수,백설탕,구연산,무수아황산"
519,519,홍로,,,,2,45,0.0,증류주,향기         증류주 쌀 찹쌀  ,500ml,50000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩,자초"
520,520,홍삼명주,1.0,3.0,,1,14,0.0,기타주류,  신맛   목넘김 담백   기타주류 삼  삼(蔘)류,375ml,12000,자연과인삼,"홍삼추출액,효모,정백당,정제수"
521,521,홍천강탁주,2.0,3.0,2.0,4,11,0.0,탁주,  신맛  바디감     탁주 쌀  ,500ml,10000,예술,"홍천쌀,정제수,국"
522,522,화주,,,,1,25,0.0,증류주,     목넘김    증류주 쌀 삼  삼(蔘)류,375ml,13000,내국양조,"국내산쌀,홍삼농축액,정제수"
523,523,황금보리소주17,,,,2,17,0.0,증류주,         증류주 보리  ,375ml,5000,황금보리(유)농업회사법인,"보리,누룩,정제수"
524,524,황금보리소주25,,,,2,25,0.0,증류주,향기         증류주 보리  ,375ml,8500,황금보리(유)농업회사법인,"보리,누룩,정제수"
525,525,황금보리소주40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 보리  ,375ml,15700,황금보리(유)농업회사법인,"보리,누룩,정제수"
526,526,황진이,3.0,2.0,1.0,3,12,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 오미자 산수유  ,375ml,3500,농업회사법인(유)술소리,"쌀,오미자,산수유"
527,527,황칠주,,,,2,16,0.0,기타주류,     목넘김    기타주류  ,365ml,9900,왕지케양조장(제주본초협동조합),"황칠나무잎,정제수,,효모"
528,528,회곡생동동주,3.0,2.0,3.0,3,7,0.0,탁주, 단맛  청량감 바디감     탁주 쌀  ,"1,200ml",1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨"
529,529,회곡생막걸리,2.0,2.0,2.0,4,6,0.0,탁주,    바디감     탁주 쌀  ,750ml,1300,회곡양조장,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨"
530,530,흑돈주,,,,2,16,0.0,기타주류,     목넘김    기타주류  ,365ml,12000,왕지케양조장(제주본초협동조합),"황칠나무,정제수,,효모"
531,531,희양산막걸리15,3.0,4.0,1.0,5,15,0.0,탁주, 단맛 신맛  바디감     탁주 쌀  무감미료,500ml,9500,두술도가,"쌀,누룩,정제수"
532,532,희양산막걸리9,2.0,3.0,2.0,3,9,0.0,탁주,  신맛  바디감  담백   탁주 쌀  무감미료,750ml,8000,두술도가,"쌀,누룩,정제수"
